,Team,Opponent,Set 1 Duration,Set 1 Scored,Set 1 Against,Set 2 Duration,Set 2 Scored,Set 1 Against,Set 3 Duration,Set 3 Scored,Set 3 Against,Attack,Block,Serve,Opp. Errors,Total,Dig,Reception,Set
53,RUS,DOM,24,25,23,31,25,23,34,23,25,74,15,6,16,111,70,23,40
54,ARG,KEN,21,25,19,22,25,19,21,25,15,47,6,7,15,75,51,3,30
55,KEN,ARG,21,14,25,22,19,25,21,15,25,33,2,3,10,48,29,3,20
56,KOR,CMR,26,25,18,23,25,18,26,25,18,43,7,8,17,75,45,13,14
57,CMR,KOR,26,21,25,23,18,25,26,18,25,34,3,3,17,57,32,19,24
58,BRA,USA,27,22,25,25,18,25,25,19,25,39,4,2,14,59,33,21,16
59,USA,BRA,27,25,18,25,25,18,25,25,19,49,8,3,15,75,43,22,28
60,JPN,CHN,25,17,25,23,10,25,29,17,25,32,2,1,9,44,42,13,20
61,CHN,JPN,25,25,10,23,25,10,29,25,17,49,14,8,4,75,49,13,26
62,KOR,ARG,23,25,25,29,21,25,29,25,19,64,11,4,17,96,70,7,19
63,ARG,KOR,23,19,21,29,25,21,29,19,25,52,5,2,13,72,67,13,27
64,DOM,KEN,24,25,19,26,25,19,28,25,19,45,8,5,17,75,53,8,35
65,KEN,DOM,24,17,25,26,19,25,28,19,25,33,5,5,12,55,42,9,34
66,CMR,NED,23,15,25,23,14,25,23,18,25,27,6,4,10,47,22,10,11
67,NED,CMR,23,25,14,23,25,14,23,25,18,47,5,8,15,75,40,7,20
68,CHN,BRA,28,25,25,32,23,25,27,22,25,70,16,3,21,110,60,22,41
69,BRA,CHN,28,23,23,32,25,23,27,25,22,69,9,7,16,101,56,36,32
70,RUS,SRB,23,25,25,28,20,25,28,25,23,60,11,4,20,95,59,8,22
71,SRB,RUS,23,16,20,28,25,20,28,23,25,58,7,5,10,80,48,13,24
72,JPN,USA,36,24,22,32,25,22,31,21,25,71,5,3,24,103,85,25,29
73,USA,JPN,36,26,25,32,22,25,31,25,21,76,17,2,16,111,78,30,39
74,KOR,NED,26,19,21,28,25,21,30,22,25,50,11,9,19,89,61,16,14
75,NED,KOR,26,25,25,28,21,25,30,25,22,71,9,6,10,96,68,18,24
76,DOM,BRA,27,16,23,30,25,23,27,19,25,58,8,2,14,82,60,15,35
77,BRA,DOM,27,25,25,30,23,25,27,25,19,60,9,4,25,98,66,24,55
78,CMR,SRB,30,22,25,26,14,25,25,17,25,32,4,4,13,53,42,1,24
79,SRB,CMR,30,25,14,26,25,14,25,25,17,42,11,9,13,75,45,5,23
80,CHN,USA,22,25,17,25,25,17,31,25,22,44,10,5,16,75,48,19,17
81,USA,CHN,22,16,25,25,17,25,31,22,25,40,6,1,8,55,43,19,14
82,RUS,ARG,27,25,16,28,25,16,30,25,21,40,14,2,19,75,38,5,18
83,ARG,RUS,27,21,25,28,16,25,30,21,25,39,2,2,15,58,52,5,33
84,JPN,KEN,26,25,22,31,25,22,30,25,20,54,3,3,15,75,55,21,48
85,KEN,JPN,26,18,25,31,22,25,30,20,25,38,8,1,13,60,33,11,25
86,KOR,SRB,29,25,18,25,25,18,27,15,25,59,8,5,18,90,77,18,35
87,SRB,KOR,29,21,25,25,18,25,27,25,15,64,2,3,18,87,73,7,28
88,DOM,USA,27,22,25,30,23,25,21,9,25,27,9,3,15,54,40,9,5
89,USA,DOM,27,25,23,30,25,23,21,25,9,44,11,8,12,75,45,11,24
90,CMR,ARG,30,25,20,26,25,20,32,20,25,69,10,3,20,102,69,24,22
91,ARG,CMR,30,21,25,26,20,25,32,25,20,66,8,11,21,106,77,30,24
92,CHN,KEN,20,25,12,21,25,12,24,25,14,38,6,9,22,75,40,3,29
93,KEN,CHN,20,12,25,21,12,25,24,14,25,29,1,3,5,38,34,6,13
94,RUS,NED,29,26,18,30,25,18,32,25,20,39,12,6,19,76,36,4,1
95,NED,RUS,29,24,25,30,18,25,32,20,25,44,5,5,8,62,41,12,24
96,JPN,BRA,27,14,25,34,21,25,34,23,25,42,5,2,9,58,77,28,31
97,BRA,JPN,27,25,21,34,25,21,34,25,23,45,10,1,19,75,72,12,25
98,KOR,KEN,21,25,16,25,25,16,26,25,21,46,1,10,18,75,43,12,35
99,KEN,KOR,21,15,25,25,16,25,26,21,25,28,5,4,15,52,30,15,28
100,DOM,ARG,25,25,23,30,25,23,32,27,25,50,8,3,16,77,47,14,33
101,ARG,DOM,25,16,25,30,23,25,32,25,27,45,2,3,14,64,59,13,50
102,CMR,BRA,22,11,25,23,17,25,25,18,25,21,5,5,15,46,31,6,22
103,BRA,CMR,22,25,17,23,25,17,25,25,18,44,8,6,17,75,51,7,37
104,CHN,NED,25,25,16,25,25,16,26,21,25,58,14,4,20,96,44,19,12
105,NED,CHN,25,19,25,25,16,25,26,25,21,57,4,2,16,79,44,25,16
106,RUS,USA,29,26,25,28,22,25,26,22,25,64,15,4,20,103,58,13,15
107,USA,RUS,29,24,22,28,25,22,26,25,22,65,7,10,24,106,65,21,30
108,JPN,SRB,28,21,25,32,21,25,32,25,20,64,11,6,26,107,76,28,56
109,SRB,JPN,28,25,21,32,25,21,32,20,25,64,12,2,18,96,71,26,26
110,KOR,BRA,31,25,25,27,18,25,27,25,20,64,7,7,15,93,62,14,26
111,BRA,KOR,31,23,18,27,25,18,27,20,25,66,6,3,14,89,62,18,38
112,DOM,NED,29,25,22,30,25,22,32,25,27,62,15,1,30,108,65,10,19
113,NED,DOM,29,23,25,30,22,25,32,27,25,70,8,3,20,101,71,12,51
114,CMR,USA,23,19,25,24,15,25,18,5,25,21,1,5,12,39,29,9,5
115,USA,CMR,23,25,15,24,25,15,18,25,5,48,13,4,10,75,50,5,25
116,CHN,SRB,22,25,21,26,25,21,23,25,16,47,10,4,14,75,46,9,20
117,SRB,CHN,22,14,25,26,21,25,23,16,25,39,2,2,8,51,42,14,8
118,RUS,KEN,20,25,21,25,25,21,34,25,22,41,16,1,17,75,26,19,21
119,KEN,RUS,20,16,25,25,21,25,34,22,25,35,2,5,17,59,28,28,16
120,JPN,ARG,32,26,15,26,25,15,25,25,14,55,5,4,12,76,57,27,15
121,ARG,JPN,32,24,25,26,15,25,25,14,25,34,6,2,11,53,37,30,11
122,KOR,USA,24,21,25,24,16,25,26,25,16,51,9,4,20,84,43,28,18
123,USA,KOR,24,25,16,24,25,16,26,16,25,48,11,6,26,91,40,26,27
124,DOM,SRB,29,25,21,31,25,21,31,22,25,57,17,7,16,97,58,16,27
125,SRB,DOM,29,22,25,31,21,25,31,25,22,55,11,4,15,85,59,23,42
126,RUS,BRA,37,26,25,31,20,25,29,25,21,58,12,3,17,90,49,37,17
127,BRA,RUS,37,28,20,31,25,20,29,21,25,61,13,6,19,99,53,36,35
128,CHN,ARG,24,25,14,24,25,14,19,25,12,42,16,7,10,75,33,13,26
129,ARG,CHN,24,17,25,24,14,25,19,12,25,31,3,2,7,43,21,20,6
130,CMR,KEN,22,15,26,28,24,26,23,25,14,50,12,2,21,85,43,25,32
131,KEN,CMR,22,25,24,28,26,24,23,14,25,58,10,2,20,90,46,26,29
132,JPN,NED,32,25,25,33,27,25,35,24,26,71,5,9,16,101,97,37,7
133,NED,JPN,32,18,27,33,25,27,35,26,24,58,10,4,18,90,77,32,19
