,Date,TeamA,TeamB,Result,S,Team A Kills,Team A Errors,Team A Total Attacks,Team A Hit Pct,Team A Assists,Team A Aces,Team A SErr,Team A Digs,Team A RErr,Team A Block Solos,Team A Block Assists,Team A BErr,Team A PTS,Team B Kills,Team B Errors,Team B Total Attacks,Team B Hit Pct,Team B Assists,Team B Aces,Team B SErr,Team B Digs,Team B RErr,Team B Block Solos,Team B Block Assists,Team B BErr,Team B PTS
55,8302019,Air Force,UConn,0,4.0,37,29,108,0.07400000000000001,36,9,10,32,10,0,4,3,0.0,39,11,85,0.329,36,10,9,34,9,9,7,3,0.0
56,8312019,Air Force,Gonzaga,0,3.0,36,16,91,0.22,34,4,10,39,15,1,8,0,0.0,35,11,94,0.255,32,14,8,35,4,3,2,1,0.0
57,9062019,Air Force,Little Rock,1,3.0,47,15,112,0.28600000000000003,43,6,11,40,5,0,12,6,59.0,32,16,92,0.174,27,5,5,42,6,0,12,1,43.0
58,9072019,Air Force,Illinois St.,0,5.0,54,37,170,0.1,49,8,8,70,6,2,20,5,74.0,59,24,157,0.223,56,6,10,68,8,2,22,2,78.0
59,9072019,Air Force,Oral Roberts,1,5.0,66,27,177,0.22,61,14,10,72,5,1,6,1,84.0,57,15,153,0.275,50,5,6,67,14,1,12,6,69.0
60,9132019,Air Force,UC Irvine,0,5.0,57,32,171,0.146,50,2,6,71,5,3,22,2,73.0,53,29,176,0.136,46,5,8,62,2,0,22,4,69.0
61,9142019,Air Force,Loyola Chicago,0,3.0,24,24,112,0.0,24,4,7,41,3,0,4,0,30.0,39,9,97,0.309,35,3,3,55,4,2,14,1,51.0
62,9142019,Air Force,Virginia Tech,0,4.0,51,34,151,0.113,50,4,14,53,3,0,2,1,56.0,45,19,129,0.202,43,3,5,55,4,3,14,1,58.0
63,9192019,Air Force,Denver,1,4.0,52,16,133,0.271,50,3,8,55,3,2,12,3,63.0,46,23,139,0.165,41,3,6,52,3,2,6,3,54.0
64,9202019,Air Force,Montana,0,5.0,54,33,163,0.129,51,2,9,58,5,0,23,3,67.5,56,27,154,0.188,48,5,14,58,2,2,22,5,74.0
65,9212019,Air Force,Santa Clara,0,5.0,56,35,181,0.116,54,4,6,76,4,1,12,1,67.0,64,25,188,0.207,58,4,10,69,4,2,20,4,80.0
66,9262019,Air Force,Utah St.,1,4.0,63,26,155,0.239,59,6,8,61,2,2,10,3,76.0,41,18,132,0.174,39,2,4,52,6,2,16,2,53.0
67,9282019,Air Force,Boise St.,0,4.0,58,34,169,0.142,53,7,6,65,4,1,6,3,69.0,51,11,141,0.284,49,4,5,67,7,3,24,4,70.0
68,10032019,Air Force,Wyoming,0,5.0,60,41,206,0.092,58,4,7,95,1,0,12,2,70.0,58,24,192,0.177,52,0,5,89,4,1,20,4,69.0
69,10052019,Air Force,Colorado St.,0,4.0,37,30,126,0.056,35,5,5,45,12,1,12,0,49.0,53,20,126,0.262,48,12,8,51,5,1,22,1,77.0
70,10102019,Air Force,Nevada,1,4.0,62,25,159,0.233,59,8,9,72,4,2,14,1,79.0,47,22,149,0.168,45,4,4,61,8,1,18,4,61.0
71,10122019,Air Force,San Jose St.,0,3.0,31,16,99,0.152,29,5,6,33,5,0,8,2,40.0,45,9,93,0.387,44,5,9,49,5,1,10,2,56.0
72,10172019,Air Force,Fresno St.,1,4.0,55,21,117,0.29100000000000004,52,6,8,49,9,4,8,1,69.0,37,25,121,0.099,36,9,6,32,6,1,10,3,52.0
73,10192019,Air Force,San Diego St.,1,5.0,65,34,169,0.183,61,9,11,66,1,3,10,0,82.0,48,18,140,0.214,47,1,4,62,9,3,18,3,61.0
74,10242019,Air Force,UNLV,0,4.0,39,20,112,0.17,37,4,20,45,12,0,8,1,47.0,44,20,114,0.211,36,12,18,45,4,1,6,3,60.0
75,10262019,Air Force,New Mexico,1,3.0,38,18,94,0.213,36,6,8,37,1,2,6,2,49.0,31,17,90,0.156,29,0,9,29,6,1,8,1,36.0
76,10312019,Air Force,Colorado St.,0,3.0,33,21,103,0.117,33,3,2,49,5,1,6,0,40.0,45,12,111,0.297,42,5,3,43,3,1,14,1,58.0
77,11022019,Air Force,Wyoming,0,3.0,30,29,117,0.009000000000000001,28,1,4,42,5,2,4,3,35.0,33,11,89,0.247,33,5,2,50,1,5,20,3,53.0
78,11072019,Air Force,San Jose St.,0,3.0,36,27,125,0.07200000000000001,33,7,5,47,3,1,10,1,49.0,50,21,127,0.228,46,3,3,53,7,1,17,1,62.5
79,11092019,Air Force,Nevada,0,3.0,43,25,116,0.155,40,2,6,48,3,1,6,2,49.0,41,14,106,0.255,40,3,4,43,2,1,14,3,52.0
80,11142019,Air Force,San Diego St.,0,4.0,48,24,131,0.183,47,4,11,46,3,0,20,2,62.0,54,28,135,0.193,49,3,8,52,4,1,20,5,68.0
81,11162019,Air Force,Fresno St.,0,3.0,36,20,107,0.15,34,3,5,39,6,1,6,0,43.0,42,14,102,0.275,40,6,4,42,3,2,12,0,56.0
82,11212019,Air Force,New Mexico,0,3.0,31,22,106,0.085,29,1,4,34,3,0,4,0,34.0,43,11,95,0.337,41,3,4,45,1,2,18,0,57.0
83,11232019,Air Force,UNLV,0,3.0,41,22,113,0.168,39,5,9,42,5,1,6,3,50.0,39,12,100,0.27,36,5,7,45,5,2,8,1,50.0
84,8302019,Akron,San Diego St.,0,3.0,32,17,105,0.14300000000000002,32,4,12,43,2,0,8,0,0.0,42,9,98,0.337,40,2,9,50,4,4,12,3,0.0
85,8302019,Akron,FGCU,0,4.0,43,24,138,0.138,43,5,7,61,5,0,8,1,0.0,60,15,144,0.312,57,5,11,65,5,3,16,1,0.0
86,8312019,Akron,Bryant,1,4.0,49,23,146,0.17800000000000002,48,8,6,72,5,0,8,1,0.0,46,21,155,0.161,39,5,8,63,7,0,12,2,0.0
87,9062019,Akron,William & Mary,0,3.0,37,25,111,0.108,37,7,10,53,9,0,10,1,49.0,33,15,106,0.17,31,9,4,41,7,0,12,0,48.0
88,9062019,Akron,Xavier,1,5.0,58,25,178,0.185,54,3,7,90,9,5,18,0,75.0,64,34,201,0.149,60,9,9,82,3,1,22,6,85.0
89,9072019,Akron,Wright St.,0,3.0,30,20,114,0.08800000000000001,30,2,9,50,6,0,10,0,37.0,39,11,104,0.269,34,6,6,59,2,3,8,0,52.0
90,9142019,Akron,Eastern Ky.,1,3.0,38,15,101,0.228,36,4,7,44,2,1,6,1,46.0,27,24,98,0.031,21,2,5,37,4,2,6,3,34.0
91,9142019,Akron,Seton Hall,1,3.0,44,9,100,0.35,39,7,11,43,3,5,12,1,62.0,42,11,97,0.32,39,10,7,43,3,2,6,1,57.0
92,9202019,Akron,North Dakota,1,3.0,43,13,82,0.366,39,7,8,38,0,3,4,1,55.0,31,17,92,0.152,30,0,8,24,7,2,14,3,40.0
93,9202019,Akron,Eastern Wash.,1,3.0,43,18,103,0.243,39,5,10,42,1,0,6,2,51.0,24,19,88,0.057,24,1,5,39,5,2,10,1,32.0
94,9262019,Akron,Buffalo,1,5.0,60,20,171,0.234,55,10,11,100,2,2,20,0,82.0,62,28,208,0.163,62,2,15,80,10,0,20,0,74.0
95,9282019,Akron,Ball St.,1,5.0,66,26,180,0.222,57,8,10,77,4,4,10,4,83.0,59,24,178,0.197,54,4,9,76,8,4,8,2,71.0
96,10042019,Akron,Bowling Green,1,4.0,54,20,152,0.224,50,4,17,71,6,0,12,0,64.0,48,27,155,0.135,46,6,14,68,4,3,8,0,61.0
97,10112019,Akron,Ohio,0,4.0,54,27,150,0.18,45,5,8,66,4,4,8,1,67.0,57,23,156,0.218,53,4,11,63,5,8,14,2,76.0
98,10122019,Akron,Kent St.,1,4.0,57,13,150,0.293,53,6,10,61,4,2,14,0,72.0,53,27,151,0.172,48,4,11,69,6,3,8,0,64.0
99,10182019,Akron,Northern Ill.,1,3.0,43,12,105,0.295,38,10,7,50,4,3,10,0,61.0,32,20,107,0.112,30,4,2,44,10,3,6,3,42.0
100,10192019,Akron,Western Mich.,1,5.0,74,20,184,0.293,61,6,11,80,2,3,18,4,92.0,62,22,173,0.231,56,2,4,82,6,7,2,2,72.0
101,10252019,Akron,Central Mich.,0,3.0,32,22,103,0.097,31,2,8,45,4,0,6,0,37.0,40,8,97,0.33,37,4,3,45,2,4,8,1,52.0
102,10262019,Akron,Eastern Mich.,1,4.0,55,18,177,0.209,49,4,7,93,2,2,24,0,73.0,49,28,182,0.115,47,2,5,92,4,0,12,0,57.0
103,10312019,Akron,Buffalo,0,5.0,68,34,201,0.16899999999999998,61,5,10,79,3,0,18,1,82.0,68,29,191,0.204,64,3,6,81,5,0,23,0,82.5
104,11022019,Akron,Toledo,1,4.0,49,22,134,0.201,44,10,15,63,3,2,14,0,68.0,41,21,134,0.149,38,3,12,56,10,3,8,0,51.0
105,11092019,Akron,Bowling Green,0,3.0,45,22,119,0.193,39,2,5,62,8,2,4,1,51.0,37,12,119,0.21,32,8,5,48,2,2,14,2,54.0
106,11152019,Akron,Kent St.,0,3.0,37,17,119,0.168,33,5,7,38,6,2,10,1,49.0,44,16,108,0.259,40,6,2,56,5,0,8,1,54.0
107,11162019,Akron,Ohio,0,4.0,54,24,159,0.189,51,6,14,79,7,3,8,1,67.0,54,22,163,0.196,51,7,11,70,6,4,14,2,72.0
108,11212019,Akron,Buffalo,0,3.0,29,23,112,0.054000000000000006,28,5,5,41,6,3,4,1,39.0,40,19,106,0.198,36,6,3,51,5,2,12,1,54.0
109,8302019,Alabama A&M,South Carolina St.,1,3.0,44,13,95,0.326,37,3,6,48,4,2,2,1,0.0,23,17,92,0.065,22,4,7,34,3,1,10,3,0.0
110,8312019,Alabama A&M,Florida A&M,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
111,8312019,Alabama A&M,Delaware St.,1,3.0,35,9,81,0.321,30,6,4,33,3,4,4,0,0.0,36,14,92,0.239,36,3,11,34,6,0,8,1,0.0
112,9032019,Alabama A&M,Belmont,0,3.0,28,19,97,0.093,26,1,3,40,9,0,10,0,0.0,43,18,109,0.229,40,9,5,46,1,1,16,1,0.0
113,9062019,Alabama A&M,Southern Ill.,0,4.0,56,16,133,0.301,53,4,7,59,5,0,16,2,68.0,68,18,151,0.331,61,5,14,56,4,2,6,2,78.0
114,9062019,Alabama A&M,Southeastern La.,0,3.0,24,8,86,0.18600000000000005,22,3,3,39,10,1,19,1,37.5,53,12,114,0.36,49,10,7,46,3,1,2,0,65.0
115,9072019,Alabama A&M,SIUE,0,3.0,28,14,92,0.152,24,4,4,39,10,0,13,1,38.5,47,23,117,0.205,45,10,4,45,4,2,12,1,65.0
116,9132019,Alabama A&M,Gardner-Webb,1,3.0,42,7,99,0.354,32,3,3,50,5,2,6,3,50.0,23,20,102,0.029,22,5,2,37,3,1,2,6,30.0
117,9132019,Alabama A&M,Wofford,0,4.0,29,20,113,0.08,25,6,8,52,11,3,15,7,45.5,59,27,156,0.205,55,11,13,55,6,0,8,3,74.0
118,9142019,Alabama A&M,N.C. A&T,0,3.0,32,16,89,0.18,32,2,1,34,5,0,6,6,37.0,46,9,100,0.37,39,5,4,37,2,3,12,4,60.0
119,9172019,Alabama A&M,Middle Tenn.,0,3.0,32,16,99,0.162,27,2,4,38,9,4,9,2,42.5,45,18,108,0.25,43,9,3,51,2,1,10,0,60.0
120,9202019,Alabama A&M,USC Upstate,0,4.0,47,14,126,0.262,43,4,2,64,11,1,8,8,56.0,70,18,168,0.31,62,11,6,59,4,3,4,9,86.0
121,9212019,Alabama A&M,East Carolina,0,5.0,58,24,188,0.181,56,5,6,79,4,5,4,2,70.0,70,22,192,0.25,69,4,7,85,5,7,12,1,87.0
122,9212019,Alabama A&M,Gardner-Webb,0,4.0,48,30,166,0.108,45,6,3,79,10,2,14,0,63.0,50,28,174,0.126,50,10,6,73,6,7,20,1,77.0
123,9272019,Alabama A&M,Ark.-Pine Bluff,1,4.0,53,18,123,0.285,44,4,9,56,5,5,8,1,66.0,45,26,136,0.14,40,5,13,45,3,2,4,2,54.0
124,9272019,Alabama A&M,Southern U.,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
125,9282019,Alabama A&M,Grambling,1,3.0,37,15,90,0.244,32,8,5,35,3,0,4,0,47.0,19,20,89,-0.011,19,3,4,24,8,1,18,0,32.0
126,9282019,Alabama A&M,Prairie View,0,5.0,55,20,178,0.197,44,4,5,63,3,1,8,0,64.0,73,27,197,0.234,64,3,8,76,4,0,8,0,80.0
127,9292019,Alabama A&M,Texas Southern,1,3.0,37,7,95,0.316,32,5,8,28,7,2,10,1,49.0,38,20,108,0.16699999999999998,34,7,4,35,5,2,4,0,49.0
128,10062019,Alabama A&M,Mississippi Val.,1,3.0,40,14,100,0.26,35,4,8,42,6,4,6,1,51.0,29,21,102,0.078,27,6,5,42,4,2,8,4,41.0
129,10072019,Alabama A&M,Alcorn,1,3.0,39,7,91,0.35200000000000004,34,8,5,48,4,1,4,2,50.0,28,17,104,0.106,26,5,3,40,8,0,2,1,34.0
130,10142019,Alabama A&M,Jackson St.,1,3.0,36,7,87,0.333,26,4,3,49,1,7,2,0,48.0,37,23,119,0.118,32,1,4,40,4,3,0,0,41.0
131,10182019,Alabama A&M,Alabama St.,0,3.0,35,19,108,0.14800000000000002,34,1,2,45,7,1,10,5,42.0,45,17,112,0.25,43,7,4,45,1,4,4,4,58.0
132,10252019,Alabama A&M,Ark.-Pine Bluff,1,3.0,44,13,109,0.284,35,3,4,50,4,5,0,1,52.0,30,17,104,0.125,17,4,3,43,3,6,0,3,40.0
133,10252019,Alabama A&M,Texas Southern,1,3.0,40,7,81,0.407,27,1,2,28,3,3,2,0,45.0,40,20,94,0.213,35,3,7,27,1,0,6,0,46.0
134,10262019,Alabama A&M,Grambling,1,3.0,37,12,113,0.221,30,7,1,55,1,2,2,0,47.0,29,17,115,0.104,26,1,0,42,7,2,6,0,35.0
135,10262019,Alabama A&M,Southern U.,1,3.0,42,18,104,0.231,39,4,3,42,0,7,0,0,53.0,28,19,94,0.096,26,0,5,40,4,6,9,4,38.5
136,10272019,Alabama A&M,Prairie View,0,4.0,54,27,163,0.166,51,1,3,75,7,2,4,0,59.0,58,21,170,0.218,55,7,3,71,1,5,10,1,75.0
137,11032019,Alabama A&M,Mississippi Val.,1,3.0,40,6,75,0.453,33,7,3,41,0,2,6,0,52.0,18,20,84,-0.024,17,0,4,26,7,1,2,0,20.0
138,11042019,Alabama A&M,Alcorn,1,3.0,40,5,70,0.5,31,11,5,40,3,2,2,1,54.0,17,19,83,-0.024,17,3,4,20,11,0,8,1,24.0
139,11102019,Alabama A&M,Jackson St.,1,4.0,48,19,147,0.197,43,4,3,60,5,4,18,1,65.0,60,32,162,0.173,56,5,4,66,4,1,10,3,71.0
140,11152019,Alabama A&M,Alabama St.,1,5.0,64,21,150,0.287,62,9,6,65,4,2,12,0,81.0,72,31,176,0.233,70,4,3,58,9,0,14,1,83.0
141,11222019,Alabama A&M,Grambling,1,4.0,48,23,156,0.16,38,6,4,62,4,2,6,4,59.0,42,34,147,0.054000000000000006,38,4,2,70,6,1,12,1,53.0
142,11232019,Alabama A&M,Alabama St.,0,4.0,40,16,104,0.231,36,5,4,41,12,2,8,2,51.0,64,25,142,0.275,60,13,9,42,5,0,8,1,81.0
143,12062019,Alabama A&M,Georgia Tech,0,3.0,15,7,59,0.136,11,0,5,14,13,2,2,1,18.0,49,7,77,0.545,43,13,4,33,0,1,6,2,66.0
144,8302019,Alabama St.,South Carolina St.,1,3.0,38,12,70,0.371,30,8,6,27,2,1,13,0,53.5,27,19,80,0.1,22,2,9,17,6,1,2,0,31.0
145,8302019,Alabama St.,Florida A&M,1,4.0,56,27,137,0.212,50,8,6,53,4,1,9,0,0.0,40,19,115,0.183,34,4,3,45,8,2,16,0,0.0
146,8312019,Alabama St.,Delaware St.,1,4.0,47,16,118,0.263,39,7,9,50,12,5,14,1,0.0,42,26,121,0.132,41,12,8,46,7,2,10,2,0.0
147,9032019,Alabama St.,UAB,0,3.0,34,18,86,0.18600000000000005,31,3,6,23,6,1,0,0,38.0,43,13,86,0.349,40,6,10,28,3,1,6,0,53.0
148,9062019,Alabama St.,Western Caro.,0,3.0,28,18,100,0.1,26,3,5,42,4,3,3,0,35.5,46,8,101,0.376,45,4,10,49,3,3,0,0,53.0
149,9062019,Alabama St.,Chicago St.,0,3.0,37,19,92,0.196,37,1,7,33,8,4,4,0,44.0,40,14,89,0.292,37,8,7,30,1,5,2,0,54.0
150,9072019,Alabama St.,Cal St. Fullerton,0,3.0,29,23,116,0.052000000000000005,28,1,4,48,3,2,0,0,32.0,44,13,111,0.279,40,3,6,57,1,3,8,0,54.0
151,9132019,Alabama St.,Memphis,0,4.0,45,23,130,0.16899999999999998,43,4,8,59,6,1,12,3,56.0,56,19,135,0.274,52,6,9,62,4,1,14,0,70.0
152,9132019,Alabama St.,IUPUI,0,4.0,36,30,140,0.043,33,5,7,58,7,2,14,2,50.0,47,25,143,0.154,42,7,13,70,5,3,10,2,62.0
153,9142019,Alabama St.,Southern Ill.,0,5.0,57,26,173,0.179,49,4,5,73,9,0,6,2,64.0,60,22,171,0.222,57,9,8,80,4,1,16,1,78.0
154,9172019,Alabama St.,South Alabama,0,4.0,39,27,117,0.103,36,3,4,42,6,2,18,1,53.0,54,22,131,0.244,46,6,6,49,3,6,8,0,70.0
