 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"101","Caroline Golden","Southeastern La.","Jr.","5-9","OH","117","42","0.36"
"","Jonni Parker","Penn St.","So.","6-1","OH","117","42","0.36"
"103","Samantha Snyder","Maryland","Sr.","5-9","DS","109","39","0.36"
"104","Whitney Bower","BYU","Fr.","5-9","S","112","40","0.36"
"105","Alex Ratzlaff","UMKC","Jr.","5-10","OH","104","37","0.36"
"106","Anadys VALENTIN","Delaware St.","---","-","-","90","32","0.36"
"107","Mandalay Rennon","Nevada","Fr.","5-4","L/DS","93","33","0.35"
"108","Maria Victoria Giommarini","VCU","Sr.","6-0","OH","110","39","0.35"
"","Haley Hoang","Northwestern St.","Fr.","5-4","L","110","39","0.35"
"110","Lani Mason","Delaware","Fr.","5-9","OH","96","34","0.35"
"111","Paige Hammons","Florida","Jr.","6-1","OH","116","41","0.35"
"112","Mac May","UCLA","Jr.","6-3","OH","102","36","0.35"
"","Olivia Montelisciani","Morehead St.","So.","5-9","DS","119","42","0.35"
"114","Abby Bottomley","High Point","Jr.","5-6","DS","122","43","0.35"
"","Grace Cleveland","Purdue","So.","6-3","OH","122","43","0.35"
"116","Brooke Hayden","UMBC","Sr.","5-10","L/DS","88","31","0.35"
"117","Sophie Pajevic","Morgan St.","Jr.","5-10","S","111","39","0.35"
"118","Brianna Vega","New Orleans","Sr.","5-11","OH","97","34","0.35"
"119","Tijana Milojevic","Seattle U","Jr.","5-7","L","120","42","0.35"
"120","Yomaries Villegas","N.C. Central","Jr.","5-5","L/DS","123","43","0.35"
"121","Amanda Carroll","FGCU","Sr.","5-10","OH","103","36","0.35"
"","May Pertofsky","Michigan","Fr.","6-1","MB","103","36","0.35"
"123","Hannah Frohling","Pepperdine","Sr.","6-0","OH","86","30","0.35"
"","Claire Ochs","Southeast Mo. St.","So.","5-10","S","129","45","0.35"
"125","Taylor Horsfall","Tulsa","Sr.","5-8","L/DS","132","46","0.35"
"126","Nicole Adams","Saint Francis (PA)","So.","6-1","MB","75","26","0.35"
"127","Corrin Peterson","Southern Utah","So.","5-8","S","101","35","0.35"
"128","Sarah Cruz","UTRGV","So.","6-2","RS","107","37","0.35"
"129","Bailey Pearlman","Delaware","Sr.","6-1","RS","81","28","0.35"
"130","Dana Rettke","Wisconsin","Jr.","6-8","MB","110","38","0.35"
"131","Eve Kerschenbaum","Seattle U","So.","6-3","OH","116","40","0.34"
"","Desiree Sukhov","Fresno St.","Jr.","5-11","OH","87","30","0.34"
"133","Laura Katarzynski","Northern Colo.","So.","5-8","DS","119","41","0.34"
"134","Makenna Davis","Eastern Wash.","Jr.","5-11","OH","93","32","0.34"
"135","Lauryn Burt","UNLV","So.","5-8","S","128","44","0.34"
"136","Jessie Connell","Western Ill.","Fr.","5-9","S","105","36","0.34"
"137","Emma Decker","Villanova","Sr.","6-3","S","108","37","0.34"
"138","Savannah Roper","Winthrop","Jr.","5-4","-","73","25","0.34"
"139","Annie Karle","Mercer","So.","5-11","OH","111","38","0.34"
"140","Emily Gauthreaux","Nicholls St.","So.","6-1","OH","100","34","0.34"
"141","Erin Cooke","Presbyterian","So.","5-11","S","103","35","0.34"
"142","Stephanie Williams","Pittsburgh","Sr.","6-0","OH","106","36","0.34"
"143","Camryn Allen","Towson","Jr.","5-7","L/DS","112","38","0.34"
"144","Bri Becerra","Kennesaw St.","So.","5-4","DS","115","39","0.34"
"145","Macy Phillips","Liberty","Jr.","5-7","DS","121","41","0.34"
"146","Haley Carmo","Cal St. Fullerton","So.","6-0","MB","74","25","0.34"
"147","Erin Kalahar","Youngstown St.","Sr.","5-10","RS","92","31","0.34"
"148","Grace Doyle","Fresno St.","Fr.","6-1","MB","95","32","0.34"
"","Tali Marmen","Rutgers","So.","6-2","OH","95","32","0.34"
"","Massiel Matos","Fla. Atlantic","Sr.","6-0","OH","95","32","0.34"
Reclassifying
"NR","Elizabeth Gilley","California Baptist","Sr.","5-11","DS","106","42","0.40"

NCAA Women's Volleyball
Division IAssists Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Assists","Per Set"
"1","Armania Heckenmueller","Cincinnati","So.","5-7","S","125","1514","12.11"
"2","Lexi Broadwater","Kennesaw St.","Sr.","5-8","S","115","1389","12.08"
"3","Jessica Harris","Princeton","Sr.","5-9","S","88","1055","11.99"
"4","Sydney Hilley","Wisconsin","Jr.","6-0","S","116","1383","11.92"
"5","Andrea Fuentes","Missouri","So.","5-9","S","111","1306","11.77"
"6","Madison Jurgens","South Dakota","So.","5-9","S","123","1438","11.69"
"7","Jenna Gray","Stanford","Sr.","6-1","S","120","1394","11.62"
"8","Lily Heim","SMU","So.","6-0","S","106","1230","11.60"
"9","Sami Clarkson","Omaha","Fr.","5-11","S","102","1175","11.52"
"10","Marrisa Wonders","Towson","Sr.","5-11","S","112","1289","11.51"
"11","Hannah Sedwick","Baylor","Jr.","6-1","S","104","1193","11.47"
"12","Bridget Bessler","Morehead St.","Fr.","5-10","S","103","1176","11.42"
"13","Daisy Schultz","Northern Colo.","Jr.","5-9","S","132","1505","11.40"
"14","Madison Lilley","Kentucky","Jr.","5-11","S","110","1254","11.40"
"15","Gabby Blossom","Penn St.","So.","5-9","S","117","1332","11.38"
"16","Vera Giacomazzi","Ohio","Jr.","5-8","S","119","1352","11.36"
"17","Meghan Donovan","Georgia","Sr.","6-2","S","112","1271","11.35"
"18","Saige Ka'aha'aina-Torres","Utah","So.","6-0","S","134","1518","11.33"
"19","Rachel Koop","UNI","Sr.","5-9","S","129","1458","11.30"
"20","Matti McKissock","Georgia Tech","So.","5-9","S","123","1387","11.28"
"21","Chelsey Lockey","FGCU","So.","5-9","S","108","1214","11.24"
"22","Amara Anderson","Troy","So.","6-0","S","120","1348","11.23"
"23","Kaliegh Skopal","North Texas","Jr.","5-11","S","78","874","11.21"
"24","Lexie Libs","Jacksonville St.","Jr.","5-9","S","106","1178","11.11"
"25","Stef Jankiewicz","Illinois St.","Jr.","5-10","S","120","1329","11.08"
"26","Katie Oleksak","Colorado St.","Sr.","5-10","S","105","1160","11.05"
"27","Mackenzi Welsh","Michigan","Sr.","6-1","S","118","1301","11.03"
"28","Madelyn Cole","Creighton","Sr.","5-10","S","107","1178","11.01"
"29","Nadia Dieudonne","Western Ky.","So.","5-8","S","118","1296","10.98"
"30","Ashlyn Power","Weber St.","Jr.","5-8","S","133","1459","10.97"
"31","Diana Brown","Illinois","Fr.","6-0","S","118","1294","10.97"
"32","Corinne Meglic","Samford","Jr.","5-10","S","118","1292","10.95"
"33","Anilee Sher","Rider","So.","5-8","S","104","1136","10.92"
"34","Manuela Nicolini","Fairfield","Sr.","5-9","S","108","1178","10.91"
"35","Nicklin Hames","Nebraska","So.","5-10","S","119","1296","10.89"
"36","Brigitta Petrenko","Coastal Caro.","Fr.","6-0","S","116","1258","10.84"
"37","Morgan Elmore","Lipscomb","Sr.","5-11","S","105","1137","10.83"
"38","Ashley McBee","Murray St.","Jr.","5-5","OH","98","1061","10.83"
"39","Maddie Yoss","Green Bay","Sr.","5-9","S","114","1223","10.73"
"40","Hayley Bush","Purdue","So.","5-10","S","122","1307","10.71"
"41","Kathryn Wood","La Salle","Sr.","5-10","S","109","1162","10.66"
"42","Raquel Lázaro","Southern California","So.","6-0","S","132","1404","10.64"
"43","Camryn Machado","San Diego St.","Jr.","5-9","S","109","1158","10.62"
"44","Ezgi Basaranlar","Delaware","Fr.","5-11","S","103","1092","10.60"
"45","Zoe Nunez","Notre Dame","So.","5-10","S","115","1219","10.60"
"46","Jhenna Gabriel","Texas","So.","5-8","-","97","1019","10.51"
"47","Megan Anderson","Hartford","Jr.","5-11","S","105","1102","10.50"
"48","Savannah Vach","Miami (FL)","Fr.","5-11","S","98","1028","10.49"
"49","Ella May Powell","Washington","So.","6-0","S","133","1394","10.48"
"50","Allana McInnis","Evansville","Jr.","5-7","S","117","1226","10.48"
"51","Lexis Akeo","Pittsburgh","Fr.","5-8","S","111","1161","10.46"
"52","Corrin Peterson","Southern Utah","So.","5-8","S","101","1054","10.44"
"53","Luisa Sydlik","Hofstra","Sr.","5-10","S","111","1149","10.35"
"54","Lacey Zerwas","West Virginia","So.","6-0","S","108","1116","10.33"
"55","Sabrina Bianco","Memphis","So.","5-7","S","110","1136","10.33"
"56","Alli Schomers","UMKC","Jr.","5-10","S","111","1143","10.30"
"57","Marlie Monserez","Florida","So.","6-0","S","117","1204","10.29"
"58","Julianna Askew","North Florida","Fr.","6-0","S","126","1296","10.29"
"59","Emily Weigand","Akron","Jr.","5-10","S","103","1058","10.27"
"60","Emma Decker","Villanova","Sr.","6-3","S","108","1107","10.25"
"61","Abbie Hughes","FIU","So.","5-9","S","103","1055","10.24"
"62","Emily Arnold","ETSU","Fr.","5-7","S","122","1249","10.24"
"63","Piper Mauck","Iowa St.","Jr.","6-1","S","97","993","10.24"
"64","Roi Wallace","Morgan St.","Sr.","5-9","S","114","1166","10.23"
"65","Emily DeWalt","Texas St.","So.","5-10","S","117","1196","10.22"
"66","Julia Kurowski","Colgate","So.","6-1","S","122","1247","10.22"
"67","Erica Di Maulo","St. John's (NY)","Sr.","6-0","S","117","1189","10.16"
"68","Sam Bickley","Appalachian St.","Fr.","6-0","S","110","1108","10.07"
"69","Hannah Price","Western Caro.","Jr.","5-10","S","99","996","10.06"
"70","Whitney Brown","Robert Morris","Jr.","5-7","S","90","905","10.06"
"71","Danielle Boss","Boise St.","So.","5-9","S","111","1113","10.03"
"72","Frances Arnautou","Yale","Sr.","5-11","S","83","831","10.01"
"73","Kylee McLaughlin","Oklahoma","Jr.","5-10","S","109","1089","9.99"
"74","Allie Lynch","Montana St.","Jr.","5-10","S","112","1116","9.96"
"75","Gabrielle Orr","Iowa","Jr.","5-10","S","79","784","9.92"
"76","Ashley Hand","Tennessee Tech","So.","6-0","S","112","1111","9.92"
"77","Sarah Ciszek","Sacred Heart","So.","5-10","S","120","1189","9.91"
"78","Camille Conner","Texas A&M","Jr.","6-1","S","120","1187","9.89"
"79","Rachael DeMarcus","South Alabama","So.","5-7","S","92","909","9.88"
"80","Lorissa King","Wofford","Sr.","5-9","S","95","937","9.86"
"81","Jane Seslar","UC Davis","So.","5-9","S","112","1103","9.85"
"82","Julia Patterson","Arizona","Sr.","5-10","S","117","1151","9.84"
"83","Olivia Wassner","American","Jr.","6-0","S","107","1049","9.80"
"84","Gabriela McHugh","UNC Greensboro","Fr.","5-11","S","97","949","9.78"
"85","Hannah Pukis","Washington St.","Fr.","5-11","S","113","1105","9.78"
"86","Taylor Hammill","Middle Tenn.","Sr.","-","S","111","1084","9.77"
"87","Isabel Zelaya","Pepperdine","Fr.","6-0","OPP","88","857","9.74"
"88","Emily DeStaffino","Stetson","Sr.","5-10","S","98","953","9.72"
"89","Lainey Stephenson","Wright St.","So.","5-11","S","111","1079","9.72"
"90","Ashley Watkins","Montana","Sr.","6-0","S","88","855","9.72"
"91","Mackenzie Coates","Wyoming","Jr.","6-1","S","92","893","9.71"
"92","Sarah Martin","James Madison","Sr.","6-1","S","88","854","9.70"
"93","Kennedy Cordia","Saint Louis","Jr.","5-6","S","112","1081","9.65"
"94","Klaire Mitchell","Grand Canyon","Fr.","5-7","S","113","1085","9.60"
"95","Payton Chang","Northwestern","Sr.","5-10","S","94","901","9.59"
"96","Audrey Cheng","Columbia","Jr.","5-9","S","91","872","9.58"
"97","Anna Newsome","San Diego","Sr.","5-9","S","112","1072","9.57"
"98","Whitney Bower","BYU","Fr.","5-9","S","112","1070","9.55"
"99","Grace Balensiefer","Northern Ill.","So.","5-10","S","105","1002","9.54"
"100","Dalyn Burns","Nevada","Sr.","5-8","S","114","1087","9.54"
"101","Jenna Ewert","Colorado","So.","5-10","S","106","1010","9.53"
"102","McKenna Slavik","Clemson","Fr.","6-1","S","106","1009","9.52"
"103","Karli Rose","LSU","Fr.","5-7","S","101","961","9.51"
"104","Avalon DeNecochea","Cal Poly","So.","6-2","S","110","1042","9.47"
"105","Kelsey O'Loughlin","Bucknell","Fr.","5-9","S","102","966","9.47"
"106","Paige Miles","Navy","Sr.","5-11","S","111","1049","9.45"
"107","Lucie Pokorna","New Orleans","Fr.","5-8","S","108","1020","9.44"
"108","Sydney Champaigne","Davidson","Jr.","5-11","S","101","953","9.44"
"109","Christina Grecol","Cleveland St.","So.","5-8","S","107","1009","9.43"
"110","Katie Murphy","Furman","So.","5-8","S","109","1023","9.39"
"111","Claire Ochs","Southeast Mo. St.","So.","5-10","S","129","1206","9.35"
"112","Ashtin Olin","Sacramento St.","So.","5-11","S","129","1205","9.34"
"113","Maddie Halsey","Chattanooga","Jr.","5-9","S","103","960","9.32"
"114","Madelyn Halteman","Fresno St.","Sr.","5-10","S","104","969","9.32"
"115","Kellie Hughes","Portland","Jr.","5-6","S","107","996","9.31"
"116","Morgan Dewyer","Houston Baptist","Jr.","5-8","S","113","1051","9.30"
"117","Lauren Bars","Ole Miss","Jr.","6-2","S","117","1085","9.27"
"118","Baylee Laskoskie","Southeastern La.","Fr.","6-0","S","110","1019","9.26"
"119","Ezgi Ozkan","Seattle U","Fr.","5-10","S","84","778","9.26"
"120","Isabelle Marciniak","Bowling Green","Sr.","5-10","S","123","1139","9.26"
"121","Leanne Sakowicz","Stony Brook","Sr.","5-10","S","76","703","9.25"
"122","Siani Yamaguchi","Winthrop","Jr.","-","-","107","988","9.23"
"123","Donnèe Janzen","Idaho","So.","5-11","S","85","784","9.22"
"124","Sylvia Lawson","Oral Roberts","Fr.","5-11","S","123","1127","9.16"
"125","Sara Nielsen","Kansas","Jr.","5-11","S","96","879","9.16"
"126","Annika Slovak","Lamar University","Fr.","5-7","S","91","833","9.15"
"127","Madison Brown","Ga. Southern","So.","5-10","S","101","923","9.14"
"128","Scout McLerran","Buffalo","Sr.","5-10","S","115","1048","9.11"
"129","Maria Llinas","Siena","Fr.","-","S","110","1001","9.10"
"130","Ally Wada","San Francisco","So.","5-8","S","108","982","9.09"
"131","Alleah Stamatis","Mississippi St.","Sr.","5-10","S","111","1009","9.09"
"132","Courtney Koehler","South Carolina","Sr.","5-11","S","114","1031","9.04"
"133","Meghan Wozniak","Nicholls St.","Jr.","6-0","S","104","940","9.04"
"134","Tyler Lindgren","Temple","So.","5-11","S","70","629","8.99"
"135","Kenzie Hinshaw","UT Martin","Jr.","5-9","S","118","1060","8.98"
"136","Alex Haffner","Kent St.","So.","5-10","S","113","1015","8.98"
"137","Jaimeson Lee","George Washington","Sr.","5-10","S","100","893","8.93"
"138","Amber Seaman","Ball St.","Sr.","5-11","S","96","856","8.92"
"139","Taylor Dunn","UMBC","Jr.","5-8","S","59","526","8.92"
"140","Makenzi Abelman","Cal St. Fullerton","Jr.","6-1","S","78","695","8.91"
"141","Debora Nazario","UTRGV","Jr.","5-10","S","113","1006","8.90"
"142","Annie Ell","Rhode Island","Jr.","5-8","S","95","845","8.89"
"143","Talyn Jackson","Virginia Tech","So.","5-11","S","116","1027","8.85"
"144","Riley Taylor","Eastern Mich.","Sr.","5-11","S","106","937","8.84"
"145","Annika Wetterstrom","Charlotte","Fr.","5-10","S","112","990","8.84"
"146","Sedona Hansen","Tennessee","Sr.","5-8","S","108","952","8.81"
"147","Rachel Morse","UAB","Fr.","5-7","S","95","835","8.79"
"148","Natalie Martin","Jacksonville","So.","5-10","S","111","974","8.77"
"149","Ashley Dwyer","Loyola Maryland","Fr.","5-9","S","122","1067","8.75"
"150","Hannah Morris","Liberty","Sr.","6-0","S","115","1005","8.74"

NCAA Women's Volleyball
Division IBlocks Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Block Solos","Block Assists","Total","Per Set"
"1","Jasmin Sneed","VCU","Sr.","6-0","MB","112","22","165","187","1.67"
"2","Makaila Jarema","Utah Valley","Sr.","6-1","MB","77","7","120","127","1.65"
"3","Taylor Odom","Santa Clara","Sr.","6-2","MB","120","13","183","196","1.63"
"4","Taryn Knuth","Florida St.","Jr.","6-3","MB","105","25","135","160","1.52"
"5","Jessica Donahue","Boise St.","So.","6-3","MB","109","14","149","163","1.50"
"6","Emma Granger","Robert Morris","Jr.","6-4","MB","107","18","142","160","1.50"
"7","Magda Jehlarova","Washington St.","Fr.","6-3","MB","123","29","151","180","1.46"
"8","Dana Rettke","Wisconsin","Jr.","6-8","MB","110","18","142","160","1.45"
"9","Taya Mitchell","SFA","Jr.","5-11","MB","114","24","141","165","1.45"
"10","Sabrina Starks","Pittsburgh","So.","6-2","MB","95","11","126","137","1.44"
"11","Aubrey Pitts","Saint Mary's (CA)","Sr.","6-2","MB","86","18","106","124","1.44"
"12","Sophia Davis","James Madison","Fr.","6-1","MH","93","18","115","133","1.43"
"13","Regan Pittman","Minnesota","Jr.","6-5","MB","118","27","139","166","1.41"
"14","Madeleine Gates","Stanford","Sr.","6-3","MB","120","11","157","168","1.40"
"15","Makena Patterson","Texas A&M","Jr.","6-3","MB","109","16","136","152","1.39"
"16","Julianna Salanoa","New Mexico St.","Jr.","6-0","MB","108","15","135","150","1.39"
"17","Isa Dostal","Marshall","So.","6-1","MB","96","15","116","131","1.36"
"18","Mackenzie Steckler","Western Ill.","Jr.","6-0","MH","107","25","121","146","1.36"
"19","Rachel Tullos","Houston","Fr.","6-1","MB","136","62","123","185","1.36"
"20","Paulina Hougaard-Jensen","Colorado St.","Sr.","6-1","MB","96","13","117","130","1.35"
"21","Jasmine Gross","Southern California","Sr.","6-3","MB","128","13","160","173","1.35"
"22","Kara McGhee","Baylor","Fr.","6-4","MB","103","12","127","139","1.35"
"23","Kayla Dinkins","Tulane","So.","6-1","MH","127","17","154","171","1.35"
"24","Aristea Tontai","North Carolina","Jr.","6-4","MB","89","12","107","119","1.34"
"25","Kirstie Hillyer","Colorado St.","Sr.","6-6","MB","110","30","117","147","1.34"
"26","Tia Jimerson","Ohio","Jr.","6-3","MB","86","28","86","114","1.33"
"27","Nerissa Moravec","UCF","Jr.","6-2","MB","114","10","141","151","1.32"
"28","Anne-Marie Watson","UCF","Jr.","6-0","OH","122","7","154","161","1.32"
"29","Lache Harper","UCF","Jr.","6-2","OH","85","6","106","112","1.32"
"30","Madison Harms","South Dakota","Fr.","6-2","MB","104","12","125","137","1.32"
"31","Nyssa Baker","Wright St.","Jr.","6-0","MH","82","10","98","108","1.32"
"32","Jaelyn Jackson","VCU","Sr.","6-3","MB","111","10","136","146","1.32"
"33","Avie Niece","Washington","Sr.","6-0","MB","127","17","150","167","1.31"
"34","Sydney Petersen","Nevada","Fr.","6-1","MB","112","10","137","147","1.31"
"35","Kailey Macy","Liberty","So.","6-4","MB","88","5","110","115","1.31"
"36","Destiny Leon","Marshall","Sr.","6-3","MB","100","29","101","130","1.30"
"37","Katie Myers","Maryland","So.","6-2","MB","121","10","146","156","1.29"
"38","Holly Campbell","Stanford","So.","6-4","MB","116","5","144","149","1.28"
"39","Brianna Kadiku","Oklahoma","Sr.","6-2","MB","106","12","124","136","1.28"
"40","Noa Brach","Albany (NY)","Fr.","6-0","MB","82","7","98","105","1.28"
"41","Kaitlyn Hord","Penn St.","So.","6-4","MB","117","22","127","149","1.27"
"42","Taylor Morgan","Minnesota","Sr.","6-0","MB","111","11","130","141","1.27"
"43","Jackie McBride","Wyoming","Jr.","6-1","MB","119","25","125","150","1.26"
"44","Justine Walker","UT Martin","Jr.","6-2","MB","118","20","128","148","1.25"
"45","Tori Morris","FGCU","So.","6-0","MB","91","15","99","114","1.25"
"46","Michelle Glover","UIC","So.","5-10","MB","116","24","121","145","1.25"
"47","Haley Hoffman","IUPUI","Sr.","6-2","MB","90","30","82","112","1.24"
"48","Amber Igiede","Hawaii","Fr.","6-3","MB","103","20","108","128","1.24"
"49","Shavona Cuttino","Purdue","Sr.","6-2","MB","96","3","116","119","1.24"
"50","Emma Clothier","Florida St.","Fr.","6-2","MB","105","15","115","130","1.24"
