 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","S","W-L","Aces","Per Set"
"136","William & Mary","89","5-20","117","1.31"
"137","Penn St.","118","26-8","155","1.31"
"138","Idaho St.","125","19-14","164","1.31"
"139","Minnesota","107","27-4","140","1.31"
"140","FIU","117","19-12","153","1.31"
"141","Virginia Tech","108","14-16","141","1.31"
"142","Eastern Mich.","128","21-14","167","1.30"
"143","Quinnipiac","112","9-21","146","1.30"
"144","Michigan","122","24-10","159","1.30"
"145","Northeastern","109","16-14","142","1.30"
"146","Cal Poly","96","25-3","125","1.30"
"147","Oregon","126","23-11","164","1.30"
"148","Northwestern","113","16-16","147","1.30"
"","Buffalo","113","18-11","147","1.30"
"150","George Washington","102","11-15","132","1.29"
"151","Evansville","121","10-21","156","1.29"
"152","North Dakota St.","111","9-20","143","1.29"
"153","Kansas St.","98","15-12","126","1.29"
"154","Lamar University","99","7-20","127","1.28"
"155","Long Beach St.","114","16-13","146","1.28"
"156","Mercer","107","16-13","137","1.28"
"157","South Alabama","115","13-17","147","1.28"
"158","Alabama","116","20-12","148","1.28"
"159","Western Ill.","109","3-26","139","1.28"
"160","Duquesne","102","12-16","130","1.27"
"161","Austin Peay","121","27-5","154","1.27"
"162","Incarnate Word","101","10-17","128","1.27"
"163","Chicago St.","120","9-24","152","1.27"
"164","Mississippi Val.","109","5-26","138","1.27"
"","Gonzaga","109","11-18","138","1.27"
"166","Montana St.","113","11-19","143","1.27"
"167","Loyola Chicago","108","16-14","136","1.26"
"168","Texas St.","124","27-7","156","1.26"
"169","Wisconsin","117","25-7","147","1.26"
"170","Furman","110","13-16","138","1.25"
"171","Colgate","103","14-15","129","1.25"
"172","Bryant","139","22-13","174","1.25"
"173","Ball St.","120","22-10","150","1.25"
"","Jacksonville St.","124","18-14","155","1.25"
"175","The Citadel","113","12-19","141","1.25"
"","Green Bay","113","20-11","141","1.25"
"177","UCLA","101","13-14","126","1.25"
"178","Charleston So.","97","13-12","121","1.25"
"179","Louisiana Tech","106","6-23","132","1.25"
"180","Ga. Southern","119","9-22","148","1.24"
"181","Virginia","107","8-20","133","1.24"
"182","Lafayette","99","5-23","123","1.24"
"183","Coppin St.","117","12-20","145","1.24"
"","California","117","15-16","145","1.24"
"185","New Hampshire","105","12-15","130","1.24"
"186","Memphis","114","11-19","141","1.24"
"187","Southern Miss.","127","17-15","157","1.24"
"188","Arkansas","103","11-17","127","1.23"
"189","Princeton","87","19-6","107","1.23"
"190","Rhode Island","96","9-17","118","1.23"
"191","Stony Brook","106","21-9","130","1.23"
"192","UNC Greensboro","103","13-16","126","1.22"
"193","Texas Southern","121","11-22","148","1.22"
"194","Jackson St.","130","10-24","159","1.22"
"195","Howard","108","20-11","132","1.22"
"","Brown","99","11-13","121","1.22"
"197","Rice","118","24-7","144","1.22"
"198","Rutgers","114","6-27","139","1.22"
"199","Middle Tenn.","101","7-21","123","1.22"
"200","Little Rock","125","19-13","152","1.22"
"201","Cornell","93","14-10","113","1.22"
"202","Dayton","118","23-8","143","1.21"
"203","USC Upstate","124","13-19","150","1.21"
"204","Western Caro.","105","12-16","127","1.21"
"","Eastern Wash.","105","8-22","127","1.21"
"206","Albany (NY)","102","16-11","123","1.21"
"207","Utah Valley","141","20-14","170","1.21"
"208","Saint Peter's","129","9-25","154","1.19"
"209","Bucknell","99","8-19","118","1.19"
"210","Gardner-Webb","111","7-22","132","1.19"
"211","UMBC","106","7-19","126","1.19"
"212","Lehigh","107","19-8","127","1.19"
"213","CSUN","108","8-20","128","1.19"
"214","Providence","105","8-21","124","1.18"
"215","A&M-Corpus Christi","111","9-21","131","1.18"
"216","Georgia Tech","125","18-15","147","1.18"
"217","North Texas","131","19-17","154","1.18"
"218","UT Arlington","103","16-12","121","1.17"
"219","NJIT","115","4-28","135","1.17"
"220","UMKC","123","21-11","144","1.17"
"221","Fairfield","107","14-16","125","1.17"
"222","Montana","114","10-21","133","1.17"
"223","N.C. Central","91","6-19","106","1.16"
"224","Northern Ill.","122","11-21","142","1.16"
"225","South Dakota St.","104","6-23","121","1.16"
"226","Dartmouth","86","10-15","100","1.16"
"227","Auburn","105","12-16","122","1.16"
"","SIUE","105","9-20","122","1.16"
"229","South Fla.","129","20-12","149","1.16"
"230","Idaho","123","23-10","142","1.15"
"","Towson","123","17-15","142","1.15"
"232","Eastern Ill.","112","10-21","129","1.15"
"233","Arizona St.","113","14-18","130","1.15"
"234","Cal St. Fullerton","100","6-24","115","1.15"
"","FGCU","120","27-7","138","1.15"
"236","Texas","101","23-5","116","1.15"
"237","UMass Lowell","95","5-21","109","1.15"
"238","Clemson","129","19-15","148","1.15"
"239","Iowa St.","123","21-13","141","1.15"
"240","Florida A&M","103","11-17","118","1.15"
"241","ETSU","125","28-7","143","1.14"
"242","Siena","114","4-28","130","1.14"
"243","Sam Houston St.","108","22-8","123","1.14"
"244","Butler","105","9-21","119","1.13"
"245","East Carolina","104","13-16","117","1.13"
"","Southern Utah","112","6-24","126","1.13"
"247","LSU","113","12-17","127","1.12"
"248","Toledo","106","9-18","119","1.12"
"249","Wake Forest","115","10-20","129","1.12"
"250","LIU Brooklyn","91","15-9","102","1.12"
"251","Marshall","108","10-19","121","1.12"
"252","Coastal Caro.","93","12-13","104","1.12"
"253","Texas Tech","110","17-13","123","1.12"
"254","Hartford","86","11-14","96","1.12"
"255","Oregon St.","121","11-21","135","1.12"
"256","La.-Monroe","104","11-19","116","1.12"
"257","Stetson","107","16-13","119","1.11"
"258","Bethune-Cookman","119","16-16","132","1.11"
"259","American","121","20-13","134","1.11"
"260","Kent St.","116","13-18","128","1.10"
"261","Abilene Christian","118","13-16","130","1.10"
"262","Tulsa","114","19-12","125","1.10"
"263","Murray St.","116","22-10","127","1.09"
"264","Boston College","112","15-15","122","1.09"
"265","Youngstown St.","104","7-22","113","1.09"
"266","Western Mich.","116","16-14","126","1.09"
"267","Georgia St.","95","7-19","103","1.08"
"268","Purdue Fort Wayne","120","18-14","130","1.08"
"269","Wichita St.","127","14-18","137","1.08"
"270","Illinois St.","115","25-8","124","1.08"
"271","Portland St.","107","5-25","115","1.07"
"272","Utah St.","112","5-24","120","1.07"
"273","McNeese","114","10-22","122","1.07"
"274","Baylor","118","20-9","126","1.07"
"275","Penn","89","6-19","95","1.07"
"276","North Dakota","120","14-18","128","1.07"
"277","Binghamton","92","5-20","98","1.07"
"278","Duke","108","16-12","115","1.06"
"279","Army West Point","119","14-15","126","1.06"
"280","Belmont","103","5-23","109","1.06"
"281","Charlotte","124","16-15","131","1.06"
"282","Drake","125","21-15","132","1.06"
"283","UConn","119","15-16","125","1.05"
"284","Arizona","125","22-11","131","1.05"
"","San Diego St.","125","10-21","131","1.05"
"286","Col. of Charleston","135","24-12","141","1.04"
"287","Xavier","105","10-19","108","1.03"
"288","Fordham","108","10-17","110","1.02"
"289","Indiana","120","16-15","122","1.02"
"290","Ole Miss","124","14-18","126","1.02"
"291","Saint Francis (PA)","101","5-22","102","1.01"
"292","Santa Clara","108","6-24","109","1.01"
"","Syracuse","108","19-9","109","1.01"
"294","Iowa","121","15-16","121","1.00"
"","Tennessee","125","26-6","125","1.00"
"296","Valparaiso","146","27-11","145","0.99"
"297","Mississippi St.","110","5-26","109","0.99"
"298","Milwaukee","114","8-22","112","0.98"
"299","Florida St.","109","19-10","107","0.98"
"300","Niagara","105","9-19","103","0.98"
"301","Grambling","128","11-24","125","0.98"
"302","Central Mich.","106","7-21","103","0.97"
"303","Oakland","108","10-17","104","0.96"
"","Oklahoma","108","17-11","104","0.96"
"305","Southern Ill.","106","5-26","102","0.96"
"306","Loyola Maryland","119","14-16","114","0.96"
"307","UNI","126","24-10","119","0.94"
"308","North Florida","122","11-22","115","0.94"
"309","UCF","117","27-4","110","0.94"
"310","Temple","113","8-22","106","0.94"
"311","North Carolina","96","8-19","90","0.94"
"312","Missouri St.","118","17-15","110","0.93"
"313","Tennessee St.","113","9-19","105","0.93"
"314","SMU","110","12-16","102","0.93"
"","NC State","110","15-13","102","0.93"
"316","UTEP","99","5-21","91","0.92"
"317","IUPUI","108","9-21","99","0.92"
"318","Fairleigh Dickinson","103","2-28","94","0.91"
"319","Southeastern La.","101","2-27","92","0.91"
"320","West Virginia","112","11-19","102","0.91"
"321","Prairie View","111","7-25","101","0.91"
"322","New Mexico","122","15-15","111","0.91"
"323","Colorado","125","18-14","113","0.90"
"324","Seton Hall","105","10-20","94","0.90"
"325","UC Riverside","110","9-19","98","0.89"
"326","Cleveland St.","114","17-12","100","0.88"
"327","San Diego","112","18-13","98","0.88"
"328","Louisiana","112","15-15","97","0.87"
"329","Kansas","109","15-12","94","0.86"
"330","Wyoming","119","20-11","100","0.84"
"331","DePaul","98","5-24","80","0.82"
"332","Indiana St.","111","10-20","90","0.81"
"333","Eastern Ky.","104","5-23","79","0.76"
"334","Oral Roberts","114","9-19","86","0.75"
Reclassifying
"NR","California Baptist","128","21-11","172","1.34"
"NR","North Ala.","90","4-21","102","1.13"

NCAA Women's Volleyball
Division IAssists Per Set
Through Games 12/15/2018


"Rank","Name","S","W-L","Assists","Per Set"
"1","Fla. Atlantic","99","21-7","1440","14.55"
"2","UNI","126","24-10","1784","14.16"
"3","Stanford","121","34-1","1693","13.99"
"4","Oregon","126","23-11","1740","13.81"
"5","Pittsburgh","114","30-2","1571","13.78"
"6","Marquette","115","28-7","1581","13.75"
"7","LMU (CA)","112","21-10","1539","13.74"
"8","Rice","118","24-7","1621","13.74"
"9","Minnesota","107","27-4","1467","13.71"
"10","Wisconsin","117","25-7","1579","13.50"
"11","BYU","107","31-2","1436","13.42"
"12","Texas St.","124","27-7","1660","13.39"
"13","Illinois","132","32-4","1767","13.39"
"14","Col. of Charleston","135","24-12","1807","13.39"
"15","Illinois St.","115","25-8","1537","13.37"
"16","Iona","102","20-8","1363","13.36"
"17","Iowa St.","123","21-13","1639","13.33"
"18","Creighton","118","29-5","1572","13.32"
"19","Princeton","87","19-6","1153","13.25"
"20","Eastern Mich.","128","21-14","1692","13.22"
"21","UCF","117","27-4","1545","13.21"
"22","Louisville","116","22-9","1531","13.20"
"23","Kentucky","109","26-5","1436","13.17"
"24","Cincinnati","133","26-8","1750","13.16"
"25","Baylor","118","20-9","1551","13.14"
"26","UTSA","105","19-8","1380","13.14"
"27","Tennessee","125","26-6","1638","13.10"
"28","Tulane","143","29-9","1869","13.07"
"29","Denver","110","27-3","1436","13.05"
"30","Lipscomb","108","18-12","1409","13.05"
"31","Hofstra","127","25-8","1652","13.01"
"32","Texas","101","23-5","1311","12.98"
"33","Penn St.","118","26-8","1531","12.97"
"34","Northern Ky.","121","21-10","1567","12.95"
"35","Southern California","125","22-11","1618","12.94"
"36","Kennesaw St.","120","24-7","1552","12.93"
"37","Pacific","113","13-16","1460","12.92"
"38","Austin Peay","121","27-5","1563","12.92"
"39","Utah","128","19-14","1652","12.91"
"40","Yale","81","19-5","1044","12.89"
"41","Cal Poly","96","25-3","1236","12.88"
"42","Appalachian St.","112","22-9","1440","12.86"
"43","Dayton","118","23-8","1517","12.86"
"44","UIC","118","18-13","1515","12.84"
"45","Bradley","127","24-9","1629","12.83"
"46","High Point","104","21-10","1333","12.82"
"47","UC Santa Barbara","112","17-12","1435","12.81"
"48","La Salle","107","18-12","1370","12.80"
"49","Purdue Fort Wayne","120","18-14","1534","12.78"
"50","Green Bay","113","20-11","1443","12.77"
"51","Hawaii","102","18-9","1302","12.76"
"52","UConn","119","15-16","1517","12.75"
"53","Michigan","122","24-10","1555","12.75"
"54","ETSU","125","28-7","1592","12.74"
"55","Florida St.","109","19-10","1387","12.72"
"56","San Diego","112","18-13","1425","12.72"
"57","Duke","108","16-12","1374","12.72"
"58","FGCU","120","27-7","1526","12.72"
"59","Bryant","139","22-13","1765","12.70"
"60","Furman","110","13-16","1395","12.68"
"61","Missouri St.","118","17-15","1496","12.68"
"62","Arizona","125","22-11","1584","12.67"
"63","Pepperdine","111","22-9","1406","12.67"
"64","TCU","102","15-12","1289","12.64"
"65","Colorado St.","112","23-8","1415","12.63"
"66","Idaho","123","23-10","1553","12.63"
"67","Washington","123","20-13","1552","12.62"
"68","Murray St.","116","22-10","1457","12.56"
"69","Central Ark.","121","26-7","1519","12.55"
"70","UMKC","123","21-11","1544","12.55"
"71","Idaho St.","125","19-14","1568","12.54"
"72","Northern Colo.","111","15-14","1392","12.54"
"73","Clemson","129","19-15","1617","12.53"
"74","Texas A&M","123","17-13","1541","12.53"
"75","Northern Ariz.","132","26-9","1651","12.51"
"76","Colorado","125","18-14","1563","12.50"
"77","Little Rock","125","19-13","1562","12.50"
"78","Georgia","115","15-14","1437","12.50"
"79","Missouri","119","24-8","1484","12.47"
"80","South Dakota","111","21-10","1384","12.47"
"81","Kansas St.","98","15-12","1221","12.46"
"82","Morehead St.","113","21-10","1406","12.44"
"83","Samford","136","19-15","1692","12.44"
"84","Purdue","130","24-9","1615","12.42"
"85","Towson","123","17-15","1528","12.42"
"86","Jacksonville St.","124","18-14","1540","12.42"
"87","Nebraska","133","29-7","1651","12.41"
"88","Omaha","112","17-12","1389","12.40"
"89","Radford","106","22-7","1314","12.40"
"90","Wichita St.","127","14-18","1574","12.39"
"91","NC State","110","15-13","1362","12.38"
"92","Buffalo","113","18-11","1399","12.38"
"93","Southern Miss.","127","17-15","1572","12.38"
"94","Valparaiso","146","27-11","1805","12.36"
"95","St. John's (NY)","138","23-12","1705","12.36"
"96","Loyola Maryland","119","14-16","1467","12.33"
"97","Arkansas","103","11-17","1269","12.32"
"98","Canisius","104","17-12","1281","12.32"
"99","California","117","15-16","1441","12.32"
"100","Stony Brook","106","21-9","1304","12.30"
"101","UC Davis","107","16-12","1314","12.28"
"102","Liberty","116","15-17","1424","12.28"
"103","Portland","124","20-13","1522","12.27"
"104","SMU","110","12-16","1350","12.27"
"105","Fresno St.","130","22-11","1595","12.27"
"106","Washington St.","130","23-10","1594","12.26"
"107","Oklahoma","108","17-11","1324","12.26"
"108","New Mexico St.","124","24-8","1519","12.25"
"109","New Hampshire","105","12-15","1286","12.25"
"110","Army West Point","119","14-15","1457","12.24"
"111","UTRGV","115","22-9","1408","12.24"
"112","James Madison","112","22-7","1371","12.24"
"113","Drake","125","21-15","1529","12.23"
"114","Iowa","121","15-16","1480","12.23"
"115","Syracuse","108","19-9","1317","12.19"
"116","Arkansas St.","126","19-14","1533","12.17"
"117","Texas Tech","110","17-13","1336","12.15"
"118","SFA","120","32-3","1457","12.14"
"119","Cornell","93","14-10","1129","12.14"
"120","Temple","113","8-22","1371","12.13"
"121","Sacred Heart","99","17-10","1201","12.13"
"122","Georgia Tech","125","18-15","1515","12.12"
"123","San Jose St.","103","16-11","1248","12.12"
"124","Ole Miss","124","14-18","1502","12.11"
"125","Winthrop","112","16-14","1355","12.10"
"","Boston College","112","15-15","1355","12.10"
"127","Alabama","116","20-12","1403","12.09"
"128","Loyola Chicago","108","16-14","1306","12.09"
"129","Air Force","128","17-15","1547","12.09"
"130","Fairfield","107","14-16","1291","12.07"
"131","Villanova","115","17-14","1386","12.05"
"132","Long Beach St.","114","16-13","1372","12.04"
"","Milwaukee","114","8-22","1372","12.04"
"134","Georgetown","111","17-13","1335","12.03"
"135","Delaware","107","9-19","1286","12.02"
"136","Indiana","120","16-15","1440","12.00"
"137","Houston Baptist","127","16-16","1523","11.99"
"138","Western Ky.","117","20-10","1403","11.99"
"139","Ball St.","120","22-10","1438","11.98"
"140","Navy","118","23-9","1414","11.98"
"141","SIUE","105","9-20","1258","11.98"
"142","Weber St.","105","18-10","1257","11.97"
"143","UCLA","101","13-14","1209","11.97"
"144","South Fla.","129","20-12","1541","11.95"
"145","North Texas","131","19-17","1563","11.93"
"146","Miami (FL)","94","13-12","1121","11.93"
"147","Saint Mary's (CA)","114","19-10","1359","11.92"
"148","Houston","126","17-16","1502","11.92"
"149","Mercer","107","16-13","1274","11.91"
"150","UAB","100","13-15","1190","11.90"
"151","FIU","117","19-12","1391","11.89"
"152","UC Irvine","105","16-13","1248","11.89"
"153","Central Mich.","106","7-21","1259","11.88"
"154","Northeastern","109","16-14","1292","11.85"
"155","LIU Brooklyn","91","15-9","1078","11.85"
"156","Virginia Tech","108","14-16","1278","11.83"
"157","Kansas","109","15-12","1288","11.82"
"158","Notre Dame","106","16-12","1252","11.81"
"159","Seton Hall","105","10-20","1240","11.81"
"160","Utah Valley","141","20-14","1665","11.81"
"161","UT Arlington","103","16-12","1216","11.81"
"162","Boise St.","112","18-11","1322","11.80"
"163","Oregon St.","121","11-21","1425","11.78"
"164","Howard","108","20-11","1271","11.77"
"165","American","121","20-13","1423","11.76"
"166","LSU","113","12-17","1328","11.75"
"167","Troy","116","11-19","1363","11.75"
"168","Cleveland St.","114","17-12","1339","11.75"
"169","San Diego St.","125","10-21","1468","11.74"
"170","Coastal Caro.","93","12-13","1092","11.74"
"","Miami (OH)","124","23-9","1456","11.74"
"172","UNLV","130","22-12","1526","11.74"
"173","Arizona St.","113","14-18","1326","11.73"
"174","Western Mich.","116","16-14","1359","11.72"
"175","Auburn","105","12-16","1230","11.71"
"176","Ohio","117","13-18","1368","11.69"
"177","Evansville","121","10-21","1411","11.66"
"178","Xavier","105","10-19","1224","11.66"
"179","Wyoming","119","20-11","1387","11.66"
"180","Northwestern","113","16-16","1317","11.65"
"181","Florida","123","26-7","1432","11.64"
"182","Columbia","87","10-14","1012","11.63"
"183","Ohio St.","122","12-20","1419","11.63"
"184","Louisiana","112","15-15","1302","11.63"
"185","Tulsa","114","19-12","1324","11.61"
"186","Sam Houston St.","108","22-8","1254","11.61"
"187","Wofford","111","14-16","1287","11.59"
"188","Chicago St.","120","9-24","1390","11.58"
"189","North Florida","122","11-22","1413","11.58"
"190","Hartford","86","11-14","996","11.58"
"191","Maryland","114","18-14","1320","11.58"
"192","Akron","103","11-16","1191","11.56"
"193","UC Riverside","110","9-19","1271","11.55"
"194","Southeast Mo. St.","112","16-14","1293","11.54"
"","Seattle U","112","11-19","1293","11.54"
"196","South Carolina","112","20-10","1291","11.53"
"197","Colgate","103","14-15","1187","11.52"
"198","Lehigh","107","19-8","1233","11.52"
"199","Sacramento St.","120","16-16","1382","11.52"
"200","Charlotte","124","16-15","1428","11.52"
"201","Marist","115","14-15","1323","11.50"
"202","Michigan St.","121","17-16","1392","11.50"
"203","Montana","114","10-21","1311","11.50"
"204","A&M-Corpus Christi","111","9-21","1275","11.49"
"205","Oakland","108","10-17","1240","11.48"
"206","Nevada","113","8-21","1297","11.48"
"207","Oral Roberts","114","9-19","1308","11.47"
"208","UT Martin","123","14-17","1410","11.46"
"209","Virginia","107","8-20","1226","11.46"
"210","Gonzaga","109","11-18","1248","11.45"
"211","Brown","99","11-13","1133","11.44"
"212","UNC Greensboro","103","13-16","1178","11.44"
"213","North Dakota","120","14-18","1372","11.43"
"214","Northwestern St.","101","12-15","1153","11.42"
"215","DePaul","98","5-24","1116","11.39"
"216","East Carolina","104","13-16","1184","11.38"
"217","UMBC","106","7-19","1206","11.38"
"218","Duquesne","102","12-16","1160","11.37"
"219","Bowling Green","114","19-12","1294","11.35"
"220","North Carolina","96","8-19","1089","11.34"
"221","Santa Clara","108","6-24","1224","11.33"
"","Marshall","108","10-19","1224","11.33"
"223","CSUN","108","8-20","1222","11.31"
"224","Quinnipiac","112","9-21","1267","11.31"
"225","Wright St.","114","15-14","1289","11.31"
"226","Saint Louis","98","8-20","1108","11.31"
"227","Memphis","114","11-19","1287","11.29"
"228","Providence","105","8-21","1182","11.26"
"229","Central Conn. St.","95","13-13","1067","11.23"
"230","CSU Bakersfield","122","14-16","1370","11.23"
"231","Tennessee Tech","118","11-19","1323","11.21"
"232","South Alabama","115","13-17","1289","11.21"
"233","Abilene Christian","118","13-16","1319","11.18"
"234","Montana St.","113","11-19","1259","11.14"
"235","Incarnate Word","101","10-17","1125","11.14"
"236","IUPUI","108","9-21","1202","11.13"
"237","VCU","105","19-9","1168","11.12"
"238","Morgan St.","102","13-15","1134","11.12"
"239","Elon","105","13-15","1163","11.08"
"240","Grand Canyon","107","11-17","1185","11.07"
"241","Fordham","108","10-17","1195","11.06"
"242","Indiana St.","111","10-20","1228","11.06"
"243","Rider","116","19-11","1282","11.05"
"244","Georgia St.","95","7-19","1049","11.04"
"245","Youngstown St.","104","7-22","1148","11.04"
"246","Kent St.","116","13-18","1279","11.03"
"247","George Washington","102","11-15","1124","11.02"
"248","Davidson","87","12-13","958","11.01"
"249","Saint Francis (PA)","101","5-22","1112","11.01"
"250","Dartmouth","86","10-15","946","11.00"
"251","USC Upstate","124","13-19","1361","10.98"
"252","Albany (NY)","102","16-11","1119","10.97"
"253","Alabama A&M","129","22-16","1415","10.97"
"254","Toledo","106","9-18","1162","10.96"
"255","Tennessee St.","113","9-19","1236","10.94"
"256","Southern Utah","112","6-24","1224","10.93"
"257","Northern Ill.","122","11-21","1333","10.93"
"258","New Orleans","121","12-19","1322","10.93"
"259","Rutgers","114","6-27","1245","10.92"
"260","George Mason","91","10-14","993","10.91"
"261","West Virginia","112","11-19","1220","10.89"
"262","Middle Tenn.","101","7-21","1098","10.87"
"263","Butler","105","9-21","1141","10.87"
"264","Hampton","103","8-19","1119","10.86"
"265","Eastern Ill.","112","10-21","1214","10.84"
"266","UNCW","104","15-12","1127","10.84"
"267","McNeese","114","10-22","1234","10.82"
"268","N.C. A&T","93","14-12","1006","10.82"
"269","UNC Asheville","100","16-12","1080","10.80"
"270","New Mexico","122","15-15","1316","10.79"
"271","Robert Morris","116","11-18","1251","10.78"
"272","South Dakota St.","104","6-23","1119","10.76"
"273","Stetson","107","16-13","1149","10.74"
