 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/19/2015


"Rank","Name","S","W-L","Aces","Per Set"
"136","Davidson","101","12-16","128","1.27"
"137","Drake","129","15-20","163","1.26"
"138","Dartmouth","88","12-11","111","1.26"
"139","Presbyterian","96","4-24","121","1.26"
"140","Army West Point","114","21-10","143","1.25"
"141","North Florida","118","21-11","148","1.25"
"142","FGCU","121","21-11","151","1.25"
"143","Delaware","113","12-17","141","1.25"
"144","Green Bay","108","17-13","134","1.24"
"145","Southeastern La.","117","13-18","145","1.24"
"146","Eastern Ky.","119","10-23","147","1.24"
"147","LMU (CA)","125","24-9","154","1.23"
"148","Florida","117","25-7","144","1.23"
"149","Princeton","87","15-9","107","1.23"
"150","Siena","108","16-13","132","1.22"
"151","South Carolina St.","78","4-19","95","1.22"
"152","Arkansas St.","106","28-2","129","1.22"
"153","UNCW","116","24-8","141","1.22"
"154","Pittsburgh","117","23-9","142","1.21"
"155","UNC Asheville","100","15-12","121","1.21"
"156","SIUE","106","8-18","128","1.21"
"157","Auburn","121","18-12","146","1.21"
"158","Cincinnati","117","21-10","141","1.21"
"159","Saint Mary's (CA)","99","6-22","119","1.20"
"160","UMKC","106","15-13","127","1.20"
"161","Fresno St.","119","14-18","142","1.19"
"162","Texas","114","30-3","136","1.19"
"163","Baylor","109","17-13","130","1.19"
"164","Wichita St.","135","27-9","161","1.19"
"165","Syracuse","120","23-8","143","1.19"
"166","UNC Greensboro","115","22-11","137","1.19"
"167","Saint Peter's","100","4-24","119","1.19"
"168","Purdue","122","23-10","145","1.19"
"169","South Dakota","117","15-16","139","1.19"
"170","Bowling Green","112","7-22","133","1.19"
"171","N.C. A&T","75","7-14","89","1.19"
"172","Florida A&M","97","8-21","115","1.19"
"173","Idaho","114","14-16","135","1.18"
"174","Bethune-Cookman","104","15-16","123","1.18"
"175","Bradley","106","6-24","125","1.18"
"176","Alabama A&M","136","13-25","160","1.18"
"177","Furman","108","21-9","127","1.18"
"178","South Carolina","114","13-18","134","1.18"
"179","Hartford","97","2-27","114","1.18"
"180","New Mexico St.","126","28-6","148","1.17"
"181","Colgate","98","12-16","115","1.17"
"182","George Mason","110","10-19","129","1.17"
"183","Clemson","112","6-26","131","1.17"
"184","Illinois St.","119","22-10","139","1.17"
"185","Pepperdine","115","17-14","134","1.17"
"","Temple","115","24-8","134","1.17"
"","Southeast Mo. St.","115","10-20","134","1.17"
"","Iowa","115","12-21","134","1.17"
"189","Evansville","119","8-24","138","1.16"
"190","Creighton","134","27-9","155","1.16"
"191","Brown","96","10-16","111","1.16"
"192","Stetson","109","11-18","126","1.16"
"","Binghamton","109","9-19","126","1.16"
"194","Charleston So.","124","10-23","143","1.15"
"195","Miami (OH)","114","21-10","131","1.15"
"196","Western Ky.","125","32-4","143","1.14"
"197","UConn","119","16-15","136","1.14"
"198","North Dakota St.","120","19-12","137","1.14"
"199","Southern U.","111","10-21","126","1.14"
"200","Wright St.","113","15-16","128","1.13"
"201","George Washington","122","21-11","138","1.13"
"202","Colorado St.","102","26-4","115","1.13"
"203","North Dakota","126","21-13","142","1.13"
"204","Wake Forest","121","12-20","136","1.12"
"205","Virginia Tech","122","19-13","137","1.12"
"206","UC Irvine","106","13-15","119","1.12"
"207","Ohio St.","131","25-10","147","1.12"
"208","Penn St.","115","28-6","129","1.12"
"209","UT Arlington","108","19-10","121","1.12"
"210","Louisville","117","25-7","131","1.12"
"211","Utah","118","10-21","132","1.12"
"212","Stanford","110","23-7","123","1.12"
"213","TCU","102","19-10","114","1.12"
"214","Seton Hall","113","14-16","126","1.12"
"215","Central Conn. St.","96","11-16","107","1.11"
"216","Northwestern","107","14-17","119","1.11"
"217","Tulane","125","10-22","139","1.11"
"218","San Diego St.","109","12-19","121","1.11"
"219","Michigan St.","119","19-14","132","1.11"
"220","Southern Miss.","139","24-11","154","1.11"
"221","Bucknell","94","14-12","104","1.11"
"222","Alabama St.","132","21-15","146","1.11"
"223","CSU Bakersfield","105","13-15","116","1.10"
"224","Quinnipiac","115","3-28","127","1.10"
"225","Wyoming","116","23-7","128","1.10"
"","New Mexico","116","17-14","128","1.10"
"227","Minnesota","129","30-5","142","1.10"
"228","Western Caro.","131","12-22","144","1.10"
"229","Louisiana","105","6-23","115","1.10"
"230","Hofstra","127","21-11","139","1.09"
"231","Saint Francis (PA)","106","6-23","116","1.09"
"232","Loyola Maryland","108","6-25","118","1.09"
"233","Western Ill.","109","3-28","119","1.09"
"234","Northeastern","123","6-25","134","1.09"
"235","Eastern Mich.","116","14-16","126","1.09"
"236","Nebraska","129","32-4","140","1.09"
"237","North Carolina","110","21-10","119","1.08"
"238","Georgia","98","5-25","106","1.08"
"239","South Alabama","111","13-15","120","1.08"
"240","Jacksonville","113","12-16","122","1.08"
"241","Butler","119","12-19","128","1.08"
"242","Ball St.","124","15-17","133","1.07"
"","Rice","124","21-10","133","1.07"
"244","UNI","133","19-15","142","1.07"
"245","Southern Ill.","130","23-10","138","1.06"
"246","East Carolina","119","12-19","126","1.06"
"247","Lipscomb","120","23-9","127","1.06"
"248","Eastern Wash.","104","14-14","110","1.06"
"249","Florida St.","122","25-8","129","1.06"
"250","Ga. Southern","106","10-19","112","1.06"
"251","Chicago St.","89","1-27","94","1.06"
"252","CSUN","103","8-20","108","1.05"
"253","UT Martin","125","9-24","131","1.05"
"254","SFA","128","20-14","134","1.05"
"255","Montana","108","8-20","113","1.05"
"256","Cleveland St.","130","26-7","136","1.05"
"257","San Diego","114","22-10","119","1.04"
"258","Savannah St.","94","0-31","98","1.04"
"259","Radford","119","14-15","124","1.04"
"260","Southern Utah","102","15-15","106","1.04"
"261","Missouri St.","135","24-11","140","1.04"
"262","Milwaukee","116","9-21","120","1.03"
"263","Kansas St.","107","17-12","110","1.03"
"264","LSU","108","9-20","111","1.03"
"265","Tennessee","118","21-12","121","1.03"
"266","St. John's (NY)","121","18-15","124","1.02"
"267","Troy","125","14-18","128","1.02"
"268","Marshall","121","16-14","123","1.02"
"269","North Texas","127","20-13","129","1.02"
"270","UCLA","123","25-8","124","1.01"
"271","Marquette","124","22-12","125","1.01"
"272","Western Mich.","131","15-18","132","1.01"
"273","Long Beach St.","114","25-6","114","1.00"
"","Montana St.","89","3-21","89","1.00"
"","Oklahoma","108","12-16","108","1.00"
"","Liberty","108","14-14","108","1.00"
"277","McNeese","129","15-18","128","0.99"
"278","Robert Morris","120","19-13","119","0.99"
"279","Prairie View","113","9-25","112","0.99"
"280","Oregon","112","16-14","111","0.99"
"281","South Dakota St.","110","5-27","109","0.99"
"282","The Citadel","132","7-28","130","0.98"
"283","Colorado","124","19-13","121","0.98"
"284","Texas Southern","117","16-19","114","0.97"
"285","Grambling","111","9-25","108","0.97"
"286","Duke","109","17-13","106","0.97"
"287","Col. of Charleston","129","20-13","125","0.97"
"288","Boston College","122","12-20","118","0.97"
"289","Hampton","88","3-22","85","0.97"
"290","Rutgers","109","4-28","105","0.96"
"","Middle Tenn.","109","8-22","105","0.96"
"292","Oregon St.","108","6-24","104","0.96"
"293","UCF","121","15-17","116","0.96"
"294","Georgia Tech","120","18-14","115","0.96"
"295","Penn","95","13-13","91","0.96"
"296","Arkansas","114","17-13","108","0.95"
"297","Elon","110","7-23","104","0.95"
"298","Coppin St.","87","9-15","82","0.94"
"299","IUPUI","117","21-10","110","0.94"
"300","N.C. Central","98","5-24","92","0.94"
"301","Purdue Fort Wayne","119","7-25","111","0.93"
"302","Delaware St.","97","3-25","89","0.92"
"303","Jackson St.","129","15-22","118","0.91"
"304","Wisconsin","117","26-7","107","0.91"
"305","Ark.-Pine Bluff","110","7-27","100","0.91"
"306","Texas Tech","98","14-16","89","0.91"
"307","SMU","119","27-6","108","0.91"
"308","Louisiana Tech","106","10-20","95","0.90"
"309","UTEP","121","9-23","107","0.88"
"310","Toledo","113","6-23","99","0.88"
"311","Texas A&M","115","24-7","100","0.87"
"312","Mississippi Val.","114","3-30","99","0.87"
"313","Gonzaga","119","16-15","103","0.87"
"314","Jacksonville St.","119","14-20","102","0.86"
"315","Arizona St.","115","19-13","98","0.85"
"316","Arizona","124","19-14","105","0.85"
"317","Utah St.","114","6-26","96","0.84"
"318","Fairleigh Dickinson","110","10-19","92","0.84"
"319","Northern Colo.","116","14-16","97","0.84"
"320","West Virginia","100","5-24","82","0.82"
"321","Columbia","88","7-16","72","0.82"
"322","Harvard","99","15-11","80","0.81"
"323","UNLV","113","16-14","90","0.80"
"324","California","111","9-22","87","0.78"
"325","Appalachian St.","111","22-8","86","0.77"
"326","Michigan","123","20-13","94","0.76"
"327","Illinois","122","21-13","93","0.76"
"328","Cal St. Fullerton","99","0-28","74","0.75"
"329","Buffalo","107","7-22","77","0.72"
Reclassifying
"NR","Incarnate Word","99","8-17","134","1.35"
"NR","Grand Canyon","97","7-21","114","1.18"
"NR","UMass Lowell","111","4-27","115","1.04"
"NR","Abilene Christian","111","9-20","111","1.00"
"NR","Northern Ky.","116","14-16","114","0.98"

NCAA Women's Volleyball
Division IAssists Per Set
Through Games 12/19/2015


"Rank","Name","S","W-L","Assists","Per Set"
"1","Kansas","113","30-3","1601","14.17"
"2","Boise St.","109","23-7","1529","14.03"
"3","Louisville","117","25-7","1631","13.94"
"4","Pittsburgh","117","23-9","1623","13.87"
"5","Towson","125","26-6","1730","13.84"
"6","Murray St.","101","27-3","1391","13.77"
"7","Appalachian St.","111","22-8","1527","13.76"
"8","Southern California","130","33-3","1778","13.68"
"9","Wisconsin","117","26-7","1597","13.65"
"10","Lipscomb","120","23-9","1637","13.64"
"11","Minnesota","129","30-5","1757","13.62"
"12","SMU","119","27-6","1615","13.57"
"13","Duke","109","17-13","1477","13.55"
"14","Western Ky.","125","32-4","1690","13.52"
"15","San Diego","114","22-10","1534","13.46"
"16","Rice","124","21-10","1667","13.44"
"17","Washington","116","31-3","1557","13.42"
"18","Nebraska","129","32-4","1730","13.41"
"19","Hawaii","109","29-2","1460","13.39"
"20","Texas","114","30-3","1525","13.38"
"21","BYU","113","28-4","1510","13.36"
"22","Temple","115","24-8","1535","13.35"
"23","Chattanooga","121","26-6","1615","13.35"
"24","Oregon","112","16-14","1494","13.34"
"25","Furman","108","21-9","1440","13.33"
"26","LMU (CA)","125","24-9","1656","13.25"
"27","Creighton","134","27-9","1774","13.24"
"28","UCLA","123","25-8","1626","13.22"
"29","Illinois St.","119","22-10","1573","13.22"
"30","Texas A&M","115","24-7","1520","13.22"
"31","Michigan","123","20-13","1624","13.20"
"32","Arkansas St.","106","28-2","1395","13.16"
"33","Fla. Atlantic","101","18-11","1329","13.16"
"34","Wichita St.","135","27-9","1771","13.12"
"35","New Mexico St.","126","28-6","1651","13.10"
"36","Valparaiso","127","27-8","1664","13.10"
"37","Purdue","122","23-10","1594","13.07"
"38","IUPUI","117","21-10","1528","13.06"
"39","Army West Point","114","21-10","1485","13.03"
"40","Florida","117","25-7","1523","13.02"
"41","Kansas St.","107","17-12","1392","13.01"
"42","Loyola Chicago","118","20-12","1535","13.01"
"43","Iowa St.","107","19-11","1389","12.98"
"44","Alabama","126","17-15","1633","12.96"
"45","Sacramento St.","122","26-7","1580","12.95"
"46","Colorado St.","102","26-4","1320","12.94"
"47","Missouri St.","135","24-11","1744","12.92"
"48","Stanford","110","23-7","1421","12.92"
"49","Santa Clara","113","22-9","1459","12.91"
"50","North Texas","127","20-13","1639","12.91"
"51","Dayton","123","27-6","1587","12.90"
"52","Princeton","87","15-9","1121","12.89"
"53","Georgia Tech","120","18-14","1545","12.88"
"54","Ohio St.","131","25-10","1686","12.87"
"55","Pacific","113","17-13","1454","12.87"
"56","Col. of Charleston","129","20-13","1659","12.86"
"57","Idaho St.","118","23-10","1513","12.82"
"58","Marquette","124","22-12","1589","12.81"
"59","Hofstra","127","21-11","1627","12.81"
"60","UNC Greensboro","115","22-11","1473","12.81"
"61","Long Beach St.","114","25-6","1460","12.81"
"62","Fairfield","117","21-10","1498","12.80"
"63","Arizona","124","19-14","1587","12.80"
"64","UCF","121","15-17","1547","12.79"
"65","Michigan St.","119","19-14","1520","12.77"
"66","Villanova","122","25-9","1558","12.77"
"67","Cleveland St.","130","26-7","1659","12.76"
"68","Cal Poly","100","19-8","1275","12.75"
"69","Ohio","117","25-8","1488","12.72"
"70","Oakland","118","18-13","1498","12.69"
"71","Coastal Caro.","102","25-5","1294","12.69"
"72","South Dakota","117","15-16","1484","12.68"
"73","Gonzaga","119","16-15","1509","12.68"
"74","Illinois","122","21-13","1547","12.68"
"75","Florida St.","122","25-8","1546","12.67"
"76","North Carolina","110","21-10","1392","12.65"
"77","Penn St.","115","28-6","1453","12.63"
"78","Kent St.","115","20-10","1450","12.61"
"79","Southern Ill.","130","23-10","1637","12.59"
"80","Northern Colo.","116","14-16","1460","12.59"
"81","Green Bay","108","17-13","1359","12.58"
"82","Texas Tech","98","14-16","1227","12.52"
"83","UMKC","106","15-13","1327","12.52"
"84","North Florida","118","21-11","1476","12.51"
"85","A&M-Corpus Christi","126","31-5","1576","12.51"
"86","Lehigh","111","19-13","1388","12.50"
"87","Miami (FL)","119","21-10","1485","12.48"
"88","Wright St.","113","15-16","1407","12.45"
"89","UTSA","122","24-9","1519","12.45"
"90","Marist","118","21-10","1468","12.44"
"91","Northwestern","107","14-17","1331","12.44"
"92","Kentucky","112","21-10","1392","12.43"
"93","Northern Ariz.","121","28-5","1503","12.42"
"94","Dartmouth","88","12-11","1093","12.42"
"95","UC Davis","114","15-15","1414","12.40"
"96","George Washington","122","21-11","1513","12.40"
"97","Iowa","115","12-21","1426","12.40"
"98","Cincinnati","117","21-10","1450","12.39"
"99","Sacred Heart","120","15-14","1487","12.39"
"100","Virginia","116","18-13","1436","12.38"
"101","Arkansas","114","17-13","1409","12.36"
"102","UNI","133","19-15","1643","12.35"
"103","James Madison","112","22-8","1383","12.35"
"104","Xavier","118","18-12","1457","12.35"
"105","Colorado","124","19-13","1530","12.34"
"106","Omaha","124","19-13","1529","12.33"
"107","San Francisco","108","17-14","1331","12.32"
"108","NC State","119","16-16","1465","12.31"
"109","Auburn","121","18-12","1488","12.30"
"110","Pepperdine","115","17-14","1414","12.30"
"111","Virginia Tech","122","19-13","1500","12.30"
"112","UC Irvine","106","13-15","1303","12.29"
"113","California","111","9-22","1364","12.29"
"114","Oklahoma","108","12-16","1324","12.26"
"115","Southern Miss.","139","24-11","1704","12.26"
"116","Fresno St.","119","14-18","1455","12.23"
"117","Samford","98","15-12","1198","12.22"
"118","Belmont","122","17-15","1491","12.22"
"119","North Dakota","126","21-13","1539","12.21"
"120","Rhode Island","118","20-9","1440","12.20"
"121","UIC","117","12-19","1426","12.19"
"122","Miami (OH)","114","21-10","1388","12.18"
"123","South Fla.","116","11-21","1412","12.17"
"124","High Point","118","21-10","1435","12.16"
"","Oral Roberts","118","14-16","1435","12.16"
"126","Idaho","114","14-16","1386","12.16"
"127","Denver","128","27-8","1556","12.16"
"128","Indiana","116","16-16","1409","12.15"
"129","Eastern Ill.","130","16-15","1579","12.15"
"130","American","116","28-7","1408","12.14"
"","Eastern Mich.","116","14-16","1408","12.14"
"132","Ole Miss","125","22-11","1512","12.10"
"133","Missouri","128","27-6","1543","12.05"
"134","Saint Louis","120","22-10","1445","12.04"
"135","Stony Brook","114","12-19","1372","12.04"
"136","CSU Bakersfield","105","13-15","1263","12.03"
"137","FGCU","121","21-11","1455","12.02"
"138","ETSU","112","19-12","1344","12.00"
"","Syracuse","120","23-8","1440","12.00"
"140","Houston","123","19-13","1475","11.99"
"141","Bryant","124","19-14","1486","11.98"
"142","Milwaukee","116","9-21","1389","11.97"
"143","Texas St.","111","19-12","1329","11.97"
"144","Harvard","99","15-11","1185","11.97"
"145","Winthrop","122","14-18","1460","11.97"
"146","North Dakota St.","120","19-12","1435","11.96"
"147","Baylor","109","17-13","1303","11.95"
"148","Radford","119","14-15","1422","11.95"
"149","South Carolina","114","13-18","1362","11.95"
"150","UConn","119","16-15","1421","11.94"
"151","Liberty","108","14-14","1289","11.94"
"152","Middle Tenn.","109","8-22","1299","11.92"
"153","Wofford","127","16-18","1513","11.91"
"154","TCU","102","19-10","1214","11.90"
"155","Duquesne","113","14-15","1344","11.89"
"156","Montana","108","8-20","1284","11.89"
"157","Indiana St.","132","17-16","1563","11.84"
"158","Northern Ill.","105","19-11","1242","11.83"
"159","St. John's (NY)","121","18-15","1427","11.79"
"160","New Mexico","116","17-14","1368","11.79"
"161","Mississippi St.","111","17-15","1308","11.78"
"162","Georgetown","116","10-21","1366","11.78"
"163","Tulsa","127","15-17","1495","11.77"
"164","Utah","118","10-21","1389","11.77"
"165","Siena","108","16-13","1271","11.77"
"166","Sam Houston St.","116","14-18","1363","11.75"
"167","Purdue Fort Wayne","119","7-25","1395","11.72"
"168","Ball St.","124","15-17","1450","11.69"
"169","Columbia","88","7-16","1029","11.69"
"170","New Orleans","126","19-16","1473","11.69"
"171","Jacksonville","113","12-16","1321","11.69"
"172","Western Mich.","131","15-18","1531","11.69"
"173","DePaul","122","16-15","1423","11.66"
"174","Penn","95","13-13","1108","11.66"
"175","Montana St.","89","3-21","1037","11.65"
"176","Air Force","126","12-21","1468","11.65"
"177","Wake Forest","121","12-20","1408","11.64"
"178","UNC Asheville","100","15-12","1161","11.61"
"179","Maryland","122","15-19","1414","11.59"
"180","Seton Hall","113","14-16","1309","11.58"
"181","Boston College","122","12-20","1413","11.58"
"182","Washington St.","114","16-16","1320","11.58"
"183","Butler","119","12-19","1377","11.57"
"184","SFA","128","20-14","1480","11.56"
"185","Youngstown St.","114","10-21","1317","11.55"
"186","Nevada","107","12-18","1236","11.55"
"187","Tennessee","118","21-12","1362","11.54"
"188","UC Santa Barbara","99","7-20","1141","11.53"
"189","Brown","96","10-16","1105","11.51"
"190","San Diego St.","109","12-19","1254","11.50"
"191","UMBC","97","12-14","1115","11.49"
"192","Portland St.","104","9-19","1195","11.49"
"193","Arizona St.","115","19-13","1320","11.48"
"194","Eastern Wash.","104","14-14","1191","11.45"
"195","Seattle U","107","18-11","1225","11.45"
"196","Portland","114","16-15","1305","11.45"
"197","UT Arlington","108","19-10","1236","11.44"
"198","Yale","95","15-9","1087","11.44"
"199","USC Upstate","112","15-15","1281","11.44"
"200","Central Mich.","117","11-18","1337","11.43"
"201","McNeese","129","15-18","1474","11.43"
"202","Houston Baptist","126","17-17","1439","11.42"
"203","UNCW","116","24-8","1324","11.41"
"204","Marshall","121","16-14","1380","11.40"
"205","San Jose St.","115","13-18","1311","11.40"
"206","Memphis","122","19-14","1389","11.39"
"207","Providence","112","10-22","1274","11.38"
"208","Tennessee St.","118","16-14","1341","11.36"
"209","Robert Morris","120","19-13","1363","11.36"
"210","Howard","116","18-14","1315","11.34"
"211","Southern Utah","102","15-15","1156","11.33"
"212","Lamar University","112","14-16","1268","11.32"
"213","UNLV","113","16-14","1279","11.32"
"214","Kennesaw St.","103","19-9","1165","11.31"
"215","Southeastern La.","117","13-18","1320","11.28"
"216","CSUN","103","8-20","1161","11.27"
"","UMES","103","22-7","1161","11.27"
"218","Georgia St.","102","7-19","1149","11.26"
"219","Toledo","113","6-23","1272","11.26"
"220","Ga. Southern","106","10-19","1193","11.25"
"221","New Hampshire","106","21-9","1191","11.24"
"222","VCU","118","14-17","1324","11.22"
"223","Morehead St.","118","10-21","1323","11.21"
"224","Bethune-Cookman","104","15-16","1166","11.21"
"","Central Ark.","104","16-13","1166","11.21"
"226","UC Riverside","107","10-19","1199","11.21"
"227","Wyoming","116","23-7","1292","11.14"
"228","Jacksonville St.","119","14-20","1324","11.13"
"229","UTRGV","107","12-19","1189","11.11"
"230","Rider","130","16-17","1444","11.11"
"231","Charlotte","99","8-19","1097","11.08"
"232","Campbell","112","14-17","1241","11.08"
"233","Central Conn. St.","96","11-16","1062","11.06"
"234","Saint Mary's (CA)","99","6-22","1094","11.05"
"235","Manhattan","127","20-14","1403","11.05"
"236","Stetson","109","11-18","1204","11.05"
"237","The Citadel","132","7-28","1455","11.02"
"238","Canisius","112","11-19","1234","11.02"
"239","East Carolina","119","12-19","1311","11.02"
"240","Southeast Mo. St.","115","10-20","1264","10.99"
"241","Oregon St.","108","6-24","1185","10.97"
"242","Little Rock","102","14-14","1118","10.96"
"243","Albany (NY)","98","17-9","1073","10.95"
"244","Tennessee Tech","120","10-21","1313","10.94"
"245","Louisiana Tech","106","10-20","1159","10.93"
"246","Tulane","125","10-22","1364","10.91"
"247","Utah Valley","101","14-14","1102","10.91"
"248","West Virginia","100","5-24","1091","10.91"
"249","LIU Brooklyn","97","14-14","1057","10.90"
"250","Coppin St.","87","9-15","947","10.89"
"251","Navy","109","9-20","1186","10.88"
"252","Jackson St.","129","15-22","1403","10.88"
"253","FIU","104","15-13","1131","10.88"
"254","Niagara","110","13-17","1196","10.87"
"255","Bowling Green","112","7-22","1217","10.87"
"256","William & Mary","115","10-20","1249","10.86"
"257","LSU","108","9-20","1172","10.85"
"258","Nicholls St.","100","9-19","1085","10.85"
"259","Drake","129","15-20","1398","10.84"
"260","Troy","125","14-18","1348","10.78"
"261","George Mason","110","10-19","1185","10.77"
"262","Bradley","106","6-24","1141","10.76"
"263","Austin Peay","120","10-22","1289","10.74"
"264","South Alabama","111","13-15","1192","10.74"
"265","SIUE","106","8-18","1136","10.72"
"266","Cornell","95","6-18","1017","10.71"
"267","Morgan St.","100","13-15","1070","10.70"
"268","Akron","111","8-21","1186","10.68"
"269","La.-Monroe","111","14-18","1185","10.68"
"270","Bucknell","94","14-12","1003","10.67"
"271","Colgate","98","12-16","1045","10.66"
"272","UTEP","121","9-23","1288","10.64"
"273","UT Martin","125","9-24","1329","10.63"
"274","UAB","118","9-23","1254","10.63"
