 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"35","Iva Vujosevic","Georgetown","Jr.","5-11","OH","98","41","0.42"
"36","Alex Janak","UT Arlington","Sr.","5-9","S","103","43","0.42"
"37","Teddie Sauer","Wright St.","So.","6-0","MB","108","45","0.42"
"38","Desiree Sukhov","CSU Bakersfield","So.","5-11","OH","111","46","0.41"
"39","Bojana Bolozan","Norfolk St.","Jr.","6-3","MB","70","29","0.41"
"40","Zoe McBride","Morgan St.","Fr.","6-0","OH","102","42","0.41"
"41","Andrea Laboy-Rivera","N.C. A&T","Fr.","5-5","DS","89","36","0.40"
"42","Sharlissa de Jesus","The Citadel","So.","5-9","OH","104","42","0.40"
"43","Tori Dilfer","TCU","So.","5-10","S","102","41","0.40"
"44","Allie Wright","Presbyterian","So.","6-1","MH","112","45","0.40"
"45","Maria Victoria Giommarini","VCU","Jr.","6-0","OH","105","42","0.40"
"","Veronica Jones-Perry","BYU","Sr.","6-0","OH","105","42","0.40"
"47","Ivania Ortiz","Hofstra","So.","5-9","OH","126","50","0.40"
"48","Hannah Flowers","Memphis","So.","6-2","RS","114","45","0.39"
"49","Barbara Grubisic Cabo","Alcorn","Jr.","5-11","S","94","37","0.39"
"","Haley Templeton","Miami (FL)","Sr.","6-0","S","94","37","0.39"
"51","Madison Wallace","Sam Houston St.","Sr.","6-1","OH","107","42","0.39"
"52","Ivana Blazevic","UMES","Jr.","6-1","DS","82","32","0.39"
"","Kyra MARSHALL","South Carolina St.","Fr.","-","-","82","32","0.39"
"","Alix Polk","Sacred Heart","Fr.","6-1","OH","82","32","0.39"
"55","Casey Goodwin","Liberty","Jr.","6-1","RS","103","40","0.39"
"56","Molly Sauer","Louisville","Sr.","5-7","DS","116","45","0.39"
"57","Mckenna Granato","Hawaii","Sr.","6-0","OH","101","39","0.39"
"58","Sophia Cerino","Western Ky.","Jr.","5-9","OH","117","45","0.38"
"59","Natalie Mikels","New Mexico St.","So.","5-10","S","124","47","0.38"
"60","Roi Wallace","Morgan St.","Jr.","5-9","S","93","35","0.38"
"61","Bailey Choy","Utah","Jr.","5-9","S","128","48","0.38"
"","Anna Haak","Marquette","Sr.","5-11","OH","112","42","0.38"
"63","Hannah Frohling","Pepperdine","Jr.","6-0","OH","107","40","0.37"
"64","Hailey Harward","Long Beach St.","Jr.","5-9","L/DS","110","41","0.37"
"","Lindsey Ruddins","UC Santa Barbara","Jr.","6-2","OH","110","41","0.37"
"66","Jenna Gray","Stanford","Jr.","6-1","S","121","45","0.37"
"67","Meredith Teague","LMU (CA)","So.","6-2","OH","108","40","0.37"
"68","Stela Kukoc","Miami (OH)","Sr.","6-1","OH","114","42","0.37"
"69","Erica Treiber","Tennessee","Sr.","6-1","MH","125","46","0.37"
"70","Mallory Mattingly","Jacksonville","Jr.","5-10","OH","106","39","0.37"
"71","Kirstyn Sperry","Bryant","Sr.","5-10","S","136","50","0.37"
"72","Emily Teehan","Columbia","Fr.","6-0","OH","79","29","0.37"
"73","Sydney Carlson","Western Caro.","Fr.","5-9","L","104","38","0.37"
"74","Lauren Middlemass","Sacred Heart","Sr.","5-11","OH","66","24","0.36"
"","Darby Minton","Navy","Sr.","5-9","DS","110","40","0.36"
"76","Kaitlyn Lines","Pacific","So.","6-0","OH","113","41","0.36"
"77","Ginny Gerig","Austin Peay","Jr.","5-5","L","108","39","0.36"
"78","Emma Reilly","Appalachian St.","So.","5-6","L/DS","111","40","0.36"
"79","Abby Akin","Northern Ariz.","Jr.","6-3","MB","125","45","0.36"
"","Cara Guthrie","UNC Asheville","Sr.","5-10","OH","100","36","0.36"
"81","Taylor van der Biezen","Marist","Sr.","5-9","S","114","41","0.36"
"82","Kenzie Hinshaw","UT Martin","So.","5-9","S","120","43","0.36"
"83","Mason Rooney","Davidson","Sr.","6-2","S","87","31","0.36"
"84","Olivia Nicholson","Colorado St.","Jr.","6-0","OH","104","37","0.36"
"85","Khalia Lanier","Southern California","Jr.","6-2","OH","107","38","0.36"
"","Samantha Seliger-Swenson","Minnesota","Sr.","5-11","S","107","38","0.36"
"87","Allyssa Rizzo","Montana St.","Jr.","5-6","L/DS","113","40","0.35"
"88","Sabrina Patriciello","Stony Brook","Fr.","5-7","L","82","29","0.35"
"89","Kayla Lund","Pittsburgh","So.","6-0","OH","108","38","0.35"
"90","Kenzie Higareda","Georgetown","Sr.","5-1","L","111","39","0.35"
"91","Faith Landreneaux","Bethune-Cookman","So.","5-10","MB","86","30","0.35"
"","Mireya Ramirez","St. Francis Brooklyn","Sr.","5-1","L","86","30","0.35"
"93","Jordan Thompson","Cincinnati","Jr.","6-4","RS","132","46","0.35"
"94","Bo Culo","LMU (CA)","Jr.","6-2","OH","112","39","0.35"
"95","Manuela Conte","UIC","So.","6-1","OH","118","41","0.35"
"","Maddi Sgattoni","Navy","So.","5-8","OH","118","41","0.35"
"97","Mikaela Foecke","Nebraska","Sr.","6-3","OH","133","46","0.35"
"98","Samantha Graver","La Salle","So.","5-10","OH","107","37","0.35"
"99","Elise Edman","Davidson","Jr.","5-3","DS","87","30","0.34"
"100","Makenna Davis","Eastern Wash.","So.","5-11","OH","93","32","0.34"
"101","Madison Green","A&M-Corpus Christi","Jr.","5-8","S","102","35","0.34"
"","Emma Rose","Iona","Sr.","5-9","S","102","35","0.34"
"103","Hallie Shelton","Western Ky.","So.","6-1","OH","117","40","0.34"
"104","Sasha Colombo","Colorado St.","Fr.","6-2","MB","91","31","0.34"
"105","Kori Kutsch","Alabama St.","Sr.","5-9","S","138","47","0.34"
"106","Alex Stein","Colgate","Jr.","6-1","OH","100","34","0.34"
"107","Andrea Eddy","Denver","Jr.","6-0","S","109","37","0.34"
"108","Ashley Knight","Villanova","Sr.","5-8","S","112","38","0.34"
"109","Destiny Julye","Washington","Sr.","5-11","OH","118","40","0.34"
"110","Cali Thompson","Portland","Jr.","6-0","S","124","42","0.34"
"111","Carly Nolan","Cincinnati","Sr.","6-0","OH","133","45","0.34"
"112","Annie Ell","Rhode Island","So.","5-8","S","92","31","0.34"
"","Rachel Kayongo","UMES","Sr.","6-0","MB","92","31","0.34"
"114","Andrea Hale","Weber St.","Sr.","6-3","OH","101","34","0.34"
"","Mac May","UCLA","So.","6-3","OH","101","34","0.34"
"116","Sofia Lopez Acosta","Canisius","Sr.","5-7","L/DS","104","35","0.34"
"117","Taylor Muff","Northern Colo.","So.","5-11","OH","107","36","0.34"
"118","Cheyenne Hayes","Troy","So.","5-9","OH","116","39","0.34"
"119","Milexa Cardona","Delaware St.","Fr.","5-8","S","99","33","0.33"
"","Madison Jurgens","South Dakota","Fr.","5-9","S","111","37","0.33"
"","Megan Klavitter","Chicago St.","Jr.","5-3","DS","120","40","0.33"
"","Taylor Kuper","Illinois","Fr.","5-8","DS","132","44","0.33"
"","Kara Spicer","Appalachian St.","So.","6-2","MB","111","37","0.33"
"","Kalie Wood","Columbia","Jr.","5-8","L/DS","87","29","0.33"
"125","Tilbe Yaglioglu","James Madison","Sr.","5-8","S","106","35","0.33"
"126","Kodi Garcia","Elon","So.","5-11","S","103","34","0.33"
"127","Reagan Rogers","Northwestern St.","Sr.","6-0","OH","100","33","0.33"
"128","Edie Brewer","N.C. A&T","So.","6-0","RS","82","27","0.33"
"129","Meg DeMaar","Furman","Sr.","5-10","L","110","36","0.33"
"","Isabella Sade","Omaha","So.","6-2","MB","110","36","0.33"
"131","Kaylie Jorgenson","Northern Ariz.","Sr.","6-0","OH","132","43","0.33"
"132","Kylie Grandy","Southern Miss.","Sr.","5-11","OH","126","41","0.33"
"","Luisa Sydlik","Hofstra","Jr.","5-10","S","126","41","0.33"
"134","Lexi Broadwater","Kennesaw St.","Jr.","5-8","S","120","39","0.33"
"","Paige Jones","Michigan","Fr.","6-1","OH","120","39","0.33"
"136","Mikaela Nocetti","Sacramento St.","Sr.","5-11","OH","114","37","0.32"
"137","Mahalia Swink","Alabama","Jr.","6-0","OH","111","36","0.32"
"138","Megan Kuper","Lipscomb","So.","6-0","OH","108","35","0.32"
"139","Halle Hunt","UNCW","Sr.","5-10","OH","96","31","0.32"
"140","Bia Franklin","Ohio St.","Jr.","5-11","OH","121","39","0.32"
"141","Halley McKnight","Norfolk St.","Jr.","5-6","S","59","19","0.32"
"142","Lily Walton","N.C. A&T","Fr.","6-1","MH","84","27","0.32"
"143","Bailey Pearlman","Delaware","Jr.","6-1","RS","81","26","0.32"
"144","Ryann DeJarld","Notre Dame","Sr.","5-9","L","106","34","0.32"
"","Ester Talamazzi","Virginia Tech","So.","6-0","OH","106","34","0.32"
"146","Tina Boe","Denver","So.","6-0","MB","110","35","0.32"
"147","Melina Woods","Canisius","Fr.","6-0","RS","104","33","0.32"
"148","Riley Taylor","Eastern Mich.","Jr.","5-11","S","123","39","0.32"
"149","Alex Cardona","Fla. Atlantic","Sr.","5-7","L","101","32","0.32"
"","Jada Carter","Southern U.","Fr.","5-10","OH","101","32","0.32"
Reclassifying
"NR","Jayden Davila-McClary","North Ala.","Sr.","5-8","S","90","30","0.33"

NCAA Women's Volleyball
Division IAssists Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Assists","Per Set"
"1","Ivone Martinez","Fla. Atlantic","Sr.","5-9","S","101","1264","12.51"
"2","Jenna Gray","Stanford","Jr.","6-1","S","121","1485","12.27"
"3","Tess Reid","LMU (CA)","Jr.","5-8","S","112","1344","12.00"
"4","Sydney Hilley","Wisconsin","So.","6-0","S","117","1402","11.98"
"5","Rachel Koop","UNI","Jr.","5-9","S","126","1508","11.97"
"6","August Raskie","Oregon","Sr.","6-0","S","126","1486","11.79"
"7","Allison Beckman","Col. of Charleston","Sr.","5-10","S","129","1521","11.79"
"8","Samantha Seliger-Swenson","Minnesota","Sr.","5-11","S","107","1258","11.76"
"9","Jessica Harris","Princeton","Jr.","5-9","S","80","939","11.74"
"10","Luisa Sydlik","Hofstra","Jr.","5-10","S","126","1468","11.65"
"11","Emma Rose","Iona","Sr.","5-9","S","102","1188","11.65"
"12","Jordyn Poulter","Illinois","Sr.","6-2","S","132","1521","11.52"
"13","Katie Oleksak","Colorado St.","Jr.","5-10","S","112","1288","11.50"
"14","Stef Jankiewicz","Illinois St.","So.","5-10","S","115","1301","11.31"
"15","Madison Lilley","Kentucky","So.","5-11","S","109","1232","11.30"
"16","Chelsea Johnson","Idaho St.","So.","5-10","S","125","1412","11.30"
"17","Lexi Broadwater","Kennesaw St.","Jr.","5-8","S","120","1354","11.28"
"18","Daisy Schultz","Northern Colo.","So.","5-9","S","108","1212","11.22"
"19","Piper Mauck","Iowa St.","So.","6-1","S","115","1290","11.22"
"20","Raquel Lázaro","Southern California","Fr.","6-0","S","125","1402","11.22"
"21","Sarah Dixon","Kansas St.","Jr.","5-9","S","98","1099","11.21"
"22","Olivia Lovenberg","UC Santa Barbara","Fr.","5-8","S","112","1255","11.21"
"23","Kathryn Wood","La Salle","Jr.","5-10","S","107","1196","11.18"
"24","Lyndie Haddock-Eppich","BYU","Sr.","5-10","S","107","1195","11.17"
"25","Wilma Rivera","Louisville","Sr.","5-10","S","116","1294","11.16"
"26","Taylor Anderton","Samford","Sr.","5-10","S","136","1512","11.12"
"","Tori Dilfer","TCU","So.","5-10","S","102","1134","11.12"
"28","Sydney Case","Omaha","Fr.","5-10","S","111","1233","11.11"
"29","Meghan Donovan","Georgia","Jr.","6-2","S","115","1273","11.07"
"30","Kristen Stucker","Austin Peay","Sr.","6-0","S","116","1282","11.05"
"31","Ashlyn Power","Weber St.","So.","5-8","S","105","1150","10.95"
"32","Bryanna Weiskircher","Penn St.","Sr.","6-1","S","115","1258","10.94"
"33","Maddie Yoss","Green Bay","Jr.","5-9","S","113","1236","10.94"
"34","Madelyn Cole","Creighton","Jr.","5-10","S","118","1289","10.92"
"35","Hayley Bush","Purdue","Fr.","5-10","S","130","1416","10.89"
"36","Gabby Easton","Clemson","Fr.","5-9","S","129","1397","10.83"
"37","Becky Porter","Appalachian St.","Sr.","6-1","S","104","1126","10.83"
"38","Kylie Pickrell","NC State","Sr.","6-0","S","110","1189","10.81"
"39","Chandler Clark","Morehead St.","So.","5-9","S","113","1221","10.81"
"40","Alyssa Kvarta","ETSU","Sr.","5-8","S","125","1350","10.80"
"41","Kylee McLaughlin","Oklahoma","So.","5-10","S","108","1162","10.76"
"42","Blossom Sato","Pepperdine","Sr.","5-8","S","111","1194","10.76"
"43","Frances Arnautou","Yale","Jr.","5-11","S","81","871","10.75"
"44","Julia Patterson","Arizona","Jr.","5-10","S","125","1343","10.74"
"45","Ella May Powell","Washington","Fr.","6-0","S","123","1317","10.71"
"46","Cali Thompson","Portland","Jr.","6-0","S","124","1326","10.69"
"47","Alexis Rich","Fairfield","Fr.","5-8","S","107","1143","10.68"
"48","Delilah Wolf","Loyola Chicago","Jr.","6-2","S","108","1152","10.67"
"49","Hunter Thompson","Furman","Sr.","5-10","S","110","1173","10.66"
"50","Mackenzi Welsh","Michigan","Jr.","6-1","S","119","1268","10.66"
"51","Sarah Bell","Southern Miss.","Sr.","5-10","S","125","1328","10.62"
"52","Zoe Nunez","Notre Dame","Fr.","5-10","S","105","1113","10.60"
"53","Leanne Sakowicz","Stony Brook","Jr.","5-10","S","106","1119","10.56"
"54","Megan Anderson","Hartford","So.","5-11","S","86","907","10.55"
"55","Brittany Anderson","Valparaiso","So.","5-11","S","146","1539","10.54"
"56","Haylee Mathis","Idaho","Sr.","5-11","S","120","1261","10.51"
"57","Ashley Brown","Washington St.","Jr.","5-9","S","130","1364","10.49"
"58","Amara Anderson","Troy","Fr.","6-0","S","116","1217","10.49"
"59","Nicklin Hames","Nebraska","Fr.","5-10","S","133","1395","10.49"
"60","Lexie Libs","Jacksonville St.","So.","5-9","S","123","1290","10.49"
"61","Madison Jurgens","South Dakota","Fr.","5-9","S","111","1163","10.48"
"62","Maddie Nunley","Mercer","So.","5-10","S","91","953","10.47"
"63","Siani Yamaguchi","Winthrop","So.","-","-","112","1168","10.43"
"64","Shelby Holderfield","UAB","So.","5-8","S","100","1041","10.41"
"65","Karley York","North Texas","Sr.","5-9","S","131","1361","10.39"
"66","Tamia Dockery","Howard","Sr.","5-8","S","106","1096","10.34"
"67","Ashtin Olin","Sacramento St.","Fr.","5-11","S","111","1146","10.32"
"68","Roosa Rautio","North Dakota","Fr.","5-9","-","120","1238","10.32"
"69","Sarah Martin","James Madison","Jr.","6-1","S","111","1145","10.32"
"70","Avalon DeNecochea","Cal Poly","Fr.","6-2","S","96","990","10.31"
"71","Amber Seaman","Ball St.","Jr.","5-11","S","119","1223","10.28"
"72","Camille Conner","Texas A&M","So.","6-1","S","123","1263","10.27"
"73","Gabrielle Orr","Iowa","So.","5-10","S","121","1242","10.26"
"74","Hannah Angeli","Bradley","Jr.","6-0","S","123","1262","10.26"
"75","Haley Kleespies","Radford","Sr.","5-8","S","106","1087","10.25"
"76","Emily DeWalt","Texas St.","Fr.","5-10","S","124","1270","10.24"
"77","Haley Templeton","Miami (FL)","Sr.","6-0","S","94","961","10.22"
"78","Roi Wallace","Morgan St.","Jr.","5-9","S","93","943","10.14"
"79","Erica Di Maulo","St. John's (NY)","Jr.","6-0","S","137","1389","10.14"
"80","Samantha Shupe","Northeastern","So.","5-10","S","109","1105","10.14"
"81","Ashley Watkins","Montana","Jr.","6-0","S","113","1144","10.12"
"82","Missy Owens","Texas Tech","Sr.","6-1","S","105","1056","10.06"
"83","Maria Pansari","Quinnipiac","Jr.","5-6","S","112","1126","10.05"
"84","Chloe Rear","Missouri St.","Fr.","5-10","S","116","1166","10.05"
"85","Mica Allison","Auburn","Fr.","6-1","S","105","1055","10.05"
"86","Courtney Koehler","South Carolina","Jr.","5-11","S","112","1121","10.01"
"87","Morgan Elmore","Lipscomb","Jr.","5-11","S","108","1080","10.00"
"88","Dani Suiter","Duquesne","Jr.","6-0","S","92","919","9.99"
"89","Christina Grecol","Cleveland St.","Fr.","5-8","S","110","1091","9.92"
"90","Emma Patlovich","New Hampshire","So.","5-11","S","100","991","9.91"
"91","Kendall Bosse","Abilene Christian","Sr.","5-11","OH","118","1169","9.91"
"92","Mary Murphy","Western Mich.","Sr.","5-8","S","112","1109","9.90"
"93","Madelyn Halteman","Fresno St.","Jr.","5-10","S","130","1285","9.88"
"94","Susie Jeziorowski","Tennessee Tech","Sr.","5-9","S","117","1154","9.86"
"95","Claire Ochs","Southeast Mo. St.","Fr.","5-10","S","112","1104","9.86"
"96","Allison Barber","Providence","So.","5-11","S","105","1032","9.83"
"97","Ellie Watkins","Arkansas St.","Sr.","5-9","S","122","1199","9.83"
"98","Kennedy Cordia","Saint Louis","So.","5-6","S","92","904","9.83"
"99","Nicole Alford","Maryland","So.","6-1","S","114","1117","9.80"
"100","Gabrielle Coulter","Marshall","Fr.","5-9","S","87","851","9.78"
"101","Madison O'Brien","Houston Baptist","Sr.","5-9","S","125","1222","9.78"
"102","Cassidy Ceriani","Canisius","Jr.","5-11","S","104","1015","9.76"
"103","Kennedy Etheridge","American","Sr.","6-2","S","110","1073","9.75"
"104","Julia Kurowski","Colgate","Fr.","6-1","S","103","1004","9.75"
"105","Courtnie Roberts","Delaware","So.","5-10","S","98","953","9.72"
"106","Anilee Sher","Rider","Fr.","5-8","S","109","1054","9.67"
"107","Bria Bergman","Oral Roberts","Sr.","5-9","S","114","1100","9.65"
"108","Kylie Miller","UCLA","Jr.","5-11","S","72","693","9.63"
"109","Jordan Lentz","Oakland","Jr.","6-1","S","107","1025","9.58"
"110","Jaimeson Lee","George Washington","Jr.","5-10","S","92","877","9.53"
"111","Madison Jaqua","Purdue Fort Wayne","Sr.","5-10","S","119","1134","9.53"
"112","Taylor van der Biezen","Marist","Sr.","5-9","S","114","1086","9.53"
"113","Emma Decker","Villanova","Jr.","6-3","S","114","1085","9.52"
"114","Ali Koumelis","UC Irvine","Sr.","5-9","S","96","912","9.50"
"","Nya Steele","Charlotte","Fr.","5-7","S","124","1178","9.50"
"116","Emily Konchan","George Mason","So.","5-10","S","90","854","9.49"
"117","Shae Harris","Seattle U","Sr.","6-2","S","112","1061","9.47"
"118","Vera Giacomazzi","Ohio","So.","5-8","S","117","1104","9.44"
"119","Grace James","Penn","Sr.","6-0","S","68","641","9.43"
"120","Sarah Ciszek","Sacred Heart","Fr.","5-10","S","99","932","9.41"
"121","Jade Tingelhoff","Cincinnati","Sr.","6-0","S","93","875","9.41"
"122","Carly Townsend","Toledo","Sr.","5-11","S","95","891","9.38"
"123","Inna Balyko","Rutgers","Fr.","6-0","S","114","1063","9.32"
"124","Chelsea Doyle","UC Riverside","Sr.","5-8","S","110","1025","9.32"
"125","Madison Brown","Ga. Southern","Fr.","5-10","S","102","949","9.30"
"126","Alexis Averett","Southern Utah","Jr.","5-10","S","111","1030","9.28"
"127","Madeline Holt","Wake Forest","So.","5-11","S","115","1063","9.24"
"128","Margo Pivonka","Georgetown","So.","5-11","OH","111","1023","9.22"
"129","Krytsia Negron","UMBC","Sr.","5-9","S","83","762","9.18"
"130","Hunter Atherton","North Carolina","So.","5-11","S","95","872","9.18"
"131","Lacey Zerwas","West Virginia","Fr.","6-0","S","96","881","9.18"
"132","Emma Turner","UConn","Sr.","5-10","S","121","1109","9.17"
"133","Ashley Shook","Texas","So.","6-1","S","81","742","9.16"
"134","Madison Haake","USC Upstate","Sr.","5-11","S","119","1090","9.16"
"135","Rhegan Mitchell","Virginia Tech","Sr.","5-8","S","103","940","9.13"
"136","Molly Murrihy","Memphis","Fr.","6-0","S","112","1020","9.11"
"137","Lainey Stephenson","Wright St.","Fr.","5-11","S","114","1033","9.06"
"138","Patricia Mattingly","Navy","Sr.","5-8","S","115","1039","9.03"
"139","Taylor Bebout","Western Ky.","Fr.","5-11","S","90","813","9.03"
"140","Kalli Hegerle","North Dakota St.","Fr.","6-0","S","111","1001","9.02"
"141","Skylar Besch","Northwestern St.","Fr.","5-9","S","83","747","9.00"
"142","Hannah Sedwick","Baylor","So.","6-1","S","94","838","8.91"
"143","Laken Te'o","Tennessee St.","Jr.","5-9","S","113","1007","8.91"
"144","Lauren Pick","Rhode Island","Sr.","5-9","S","96","855","8.91"
"145","Brianna Lang","Coppin St.","Fr.","5-8","S","117","1033","8.83"
"146","Shelby Martin","East Carolina","So.","5-11","S","95","836","8.80"
"147","Carina Lehto","Montana St.","So.","5-10","S","83","730","8.80"
"148","Abbie Hughes","FIU","Fr.","5-9","S","117","1019","8.71"
"149","Andrea Fuentes","Missouri","Fr.","5-9","S","118","1026","8.69"
"150","Jaclyn Ward","Sam Houston St.","Sr.","5-7","S","108","938","8.69"
Reclassifying
"NR","Natalie Zimmerer","California Baptist","Jr.","5-8","S","126","1316","10.44"

NCAA Women's Volleyball
Division IBlocks Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Block Solos","Block Assists","Total","Per Set"
"1","Tami Alade","Stanford","Sr.","6-2","MB","107","12","188","200","1.87"
"2","Makaila Jarema","Utah Valley","Jr.","6-1","MB","105","8","179","187","1.78"
"3","Taryn Knuth","Florida St.","So.","6-3","MB","109","30","158","188","1.72"
"4","Jasmin Sneed","VCU","Jr.","6-0","MB","105","22","157","179","1.70"
"5","Reed Copeland","Wyoming","Sr.","6-2","MB","119","23","172","195","1.64"
"6","Dana Rettke","Wisconsin","So.","6-8","MB","117","15","165","180","1.54"
"7","M'Kaela White","James Madison","Jr.","6-3","MB","112","15","157","172","1.54"
"8","Amber Witherspoon","Syracuse","Sr.","6-4","MB","106","32","130","162","1.53"
"9","Hannah Greene","Cleveland St.","So.","6-1","MH","114","15","157","172","1.51"
"10","Heather Gneiting","BYU","Fr.","6-4","MB","106","7","152","159","1.50"
"11","Briana Lilly","Butler","Sr.","6-2","MB","105","18","138","156","1.49"
"12","Addison Picha","San Diego","Sr.","6-2","MB","112","42","124","166","1.48"
"13","Veronica Marin","Little Rock","Sr.","6-2","MB","125","50","135","185","1.48"
"14","Leah Meyer","Duke","Sr.","6-3","MB","108","16","140","156","1.44"
"15","Layne Van Buskirk","Pittsburgh","Jr.","6-3","MH","113","24","137","161","1.42"
"16","Meg Morningstar","Notre Dame","Sr.","6-2","MB","106","15","136","151","1.42"
"17","Jessica Donahue","Boise St.","Fr.","6-3","MB","95","8","127","135","1.42"
"18","Daniele Serrano","FGCU","Jr.","6-1","MB","115","21","141","162","1.41"
"19","Naghede Abu","Colorado","Sr.","6-4","MB","96","16","118","134","1.40"
"20","Ali Bastianelli","Illinois","Sr.","6-3","MB","132","16","167","183","1.39"
"21","Rachael Kramer","Florida","Jr.","6-8","MB","123","22","148","170","1.38"
"22","Deja Harris","San Diego St.","Sr.","6-2","MB","125","25","147","172","1.38"
"23","Melody Davidson","Butler","So.","6-2","MB","104","11","132","143","1.38"
"24","Rachel Langs","Kansas","Fr.","6-3","MB","88","10","110","120","1.36"
"25","Tyra Galloway","Charlotte","Fr.","6-1","MB","112","31","120","151","1.35"
"26","Meisheia Griffin","Georgia St.","So.","6-0","MH","92","15","109","124","1.35"
"27","Milla Ciprian","Virginia","Fr.","6-2","MB","78","10","95","105","1.35"
"28","Santita Ebangwese","Syracuse","Sr.","6-0","MB","108","25","119","144","1.33"
"29","Callie Schwarzenbach","Nebraska","Fr.","6-5","MB","133","12","165","177","1.33"
"30","Paulina Hougaard-Jensen","Colorado St.","Jr.","6-1","MB","112","21","128","149","1.33"
"31","Kennedy Eschenberg","BYU","So.","6-4","MB","107","15","125","140","1.31"
"32","Maddie Fella","Morehead St.","Sr.","6-3","MB","88","15","100","115","1.31"
"33","Kendall Bender","UNCW","Jr.","6-1","MB","97","13","113","126","1.30"
"34","Meraiah Hill","Bethune-Cookman","Sr.","5-10","MB","102","20","112","132","1.29"
"35","Paige Anderson","Oklahoma","So.","6-2","MB","107","10","128","138","1.29"
"36","Kaitlyn Grice","New Orleans","Sr.","6-2","MB","121","21","135","156","1.29"
"37","Brionne Butler","Texas","So.","6-4","MB","101","9","121","130","1.29"
"38","Gala Galabova","Central Conn. St.","Jr.","6-3","DS","85","10","98","108","1.27"
"39","Katie DeMeo","West Virginia","So.","6-3","MB","93","11","107","118","1.27"
"40","Tyrecia Lukes","UMKC","Jr.","6-1","MH","117","25","122","147","1.26"
"41","Paige Havel","McNeese","Fr.","6-2","MB","110","30","108","138","1.25"
"42","Danae Daron","SFA","Jr.","6-0","MB","114","16","127","143","1.25"
"43","Holly Campbell","Stanford","Fr.","6-4","MB","113","1","140","141","1.25"
"44","Meg Starling","Ball St.","Sr.","6-6","MB","110","33","104","137","1.25"
"45","Kaitlyn Hord","Penn St.","---","6-4","-","104","7","122","129","1.24"
"46","Serena Gray","Penn St.","---","6-2","-","96","9","110","119","1.24"
"47","Aniya Williams","SFA","So.","5-11","MB","99","7","115","122","1.23"
"48","Kirstie Hillyer","Colorado St.","Jr.","6-6","MB","112","19","119","138","1.23"
"49","Loren McKenzie","American","Sr.","6-4","MB","113","20","119","139","1.23"
