 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","S","W-L","Aces","Per Set"
"49","Harvard","88","5-18","138","1.57"
"50","St. John's (NY)","118","22-12","185","1.57"
"","Texas St.","118","24-9","185","1.57"
"52","Santa Clara","124","21-12","194","1.56"
"53","Akron","103","16-12","160","1.55"
"54","Dayton","114","22-9","177","1.55"
"55","Samford","118","24-6","183","1.55"
"56","Hartford","109","16-13","169","1.55"
"57","BYU","112","26-5","173","1.54"
"58","Illinois","118","16-14","182","1.54"
"59","Army West Point","116","22-10","178","1.53"
"60","Weber St.","133","26-9","204","1.53"
"61","Hofstra","111","17-12","170","1.53"
"62","Texas","98","23-4","150","1.53"
"63","UTRGV","117","14-17","179","1.53"
"64","Northern Ky.","123","19-13","188","1.53"
"65","Winthrop","109","24-5","166","1.52"
"66","UMKC","111","17-12","169","1.52"
"67","Lamar University","94","9-17","143","1.52"
"68","La Salle","110","15-14","167","1.52"
"69","Iona","101","5-23","153","1.51"
"70","Purdue","122","24-8","184","1.51"
"71","Ark.-Pine Bluff","124","10-24","187","1.51"
"72","Bryant","113","15-17","170","1.50"
"73","Murray St.","114","19-11","171","1.50"
"","UMBC","88","7-16","132","1.50"
"","Alcorn","102","7-23","153","1.50"
"76","Troy","120","23-10","179","1.49"
"77","Michigan","118","21-11","176","1.49"
"78","Villanova","112","22-9","167","1.49"
"79","Fla. Atlantic","100","16-11","149","1.49"
"80","Morehead St.","119","23-10","177","1.49"
"81","Chattanooga","115","7-23","171","1.49"
"82","Mercer","114","14-17","169","1.48"
"83","North Florida","126","15-18","186","1.48"
"84","Georgia","112","20-10","165","1.47"
"85","FGCU","108","27-5","159","1.47"
"86","Lafayette","125","13-19","184","1.47"
"87","Milwaukee","119","26-6","175","1.47"
"88","Georgetown","122","13-19","179","1.47"
"89","Pacific","120","13-17","176","1.47"
"","Texas A&M","120","23-8","176","1.47"
"91","Southern Utah","116","15-16","170","1.47"
"92","Maryland","127","13-19","186","1.46"
"93","Marist","115","15-15","168","1.46"
"94","Canisius","123","15-16","179","1.46"
"95","Rider","115","15-16","167","1.45"
"96","Miami (FL)","102","10-16","148","1.45"
"97","South Dakota","123","31-3","178","1.45"
"98","UC Davis","112","17-13","162","1.45"
"99","Binghamton","74","0-23","107","1.45"
"100","Florida","117","27-5","169","1.44"
"101","Washington","133","27-7","192","1.44"
"102","Manhattan","115","8-23","166","1.44"
"103","Radford","95","10-16","137","1.44"
"104","Cornell","86","17-6","124","1.44"
"105","New Orleans","111","13-18","160","1.44"
"106","Towson","112","29-3","161","1.44"
"107","Northwestern St.","119","20-13","171","1.44"
"108","Memphis","110","17-11","158","1.44"
"109","Appalachian St.","116","13-17","166","1.43"
"110","Toledo","108","9-19","154","1.43"
"111","Albany (NY)","99","16-11","141","1.42"
"112","Houston Baptist","118","17-15","168","1.42"
"113","Texas Southern","103","11-18","146","1.42"
"114","New Mexico St.","108","27-4","153","1.42"
"115","Alabama St.","142","17-22","201","1.42"
"116","LMU (CA)","110","14-15","155","1.41"
"117","Pittsburgh","111","30-2","156","1.41"
"118","Arkansas St.","116","17-13","163","1.41"
"119","Saint Peter's","109","3-27","153","1.40"
"120","St. Francis Brooklyn","119","14-17","167","1.40"
"121","Penn St.","117","27-6","164","1.40"
"122","LIU Brooklyn","105","12-17","147","1.40"
"123","Yale","83","15-8","116","1.40"
"124","Boise St.","111","18-12","155","1.40"
"125","La.-Monroe","112","12-20","156","1.39"
"126","IUPUI","115","7-22","160","1.39"
"127","Oregon","113","9-20","157","1.39"
"128","Tulane","131","22-11","182","1.39"
"129","Wright St.","111","24-6","154","1.39"
"130","Illinois St.","132","22-12","183","1.39"
"131","USC Upstate","101","8-19","140","1.39"
"","Youngstown St.","101","8-21","140","1.39"
"133","Georgia Tech","123","26-8","170","1.38"
"134","Nevada","114","17-13","157","1.38"
"135","Seattle U","120","13-18","165","1.38"
"136","San Jose St.","107","10-19","147","1.37"
"137","UNC Greensboro","97","11-20","133","1.37"
"138","South Alabama","119","20-11","163","1.37"
"139","Rhode Island","95","8-18","130","1.37"
"","Hawaii","114","26-4","156","1.37"
"141","Sacramento St.","130","14-18","177","1.36"
"142","UTEP","106","13-15","144","1.36"
"143","Washington St.","123","23-10","167","1.36"
"144","Brown","87","13-10","118","1.36"
"145","Bucknell","102","14-14","138","1.35"
"146","Incarnate Word","114","7-23","154","1.35"
"147","Stanford","120","30-4","162","1.35"
"148","Providence","115","6-25","155","1.35"
"149","Prairie View","136","17-22","183","1.35"
"150","Air Force","114","8-22","153","1.34"
"151","Sacred Heart","120","20-12","161","1.34"
"152","Iowa St.","107","17-12","143","1.34"
"153","Arkansas","113","11-19","151","1.34"
"154","San Diego","112","25-6","149","1.33"
"155","Saint Mary's (CA)","106","11-17","141","1.33"
"156","Boston College","128","20-12","170","1.33"
"157","Bradley","119","15-15","158","1.33"
"158","Southern Ill.","134","14-18","177","1.32"
"159","Syracuse","94","12-13","124","1.32"
"160","Southern California","132","18-14","174","1.32"
"161","Kentucky","114","25-7","150","1.32"
"162","Holy Cross","111","5-25","146","1.32"
"163","N.C. A&T","115","16-15","151","1.31"
"164","CSU Bakersfield","114","9-19","149","1.31"
"165","Siena","111","11-18","145","1.31"
"166","Penn","82","11-10","107","1.30"
"167","Norfolk St.","86","2-23","112","1.30"
"168","Grand Canyon","116","24-6","151","1.30"
"169","Ball St.","126","20-12","164","1.30"
"170","Central Mich.","113","21-9","147","1.30"
"171","SFA","114","31-2","148","1.30"
"172","Louisville","121","22-10","157","1.30"
"173","Rutgers","105","8-23","136","1.30"
"","Lipscomb","105","16-13","136","1.30"
"175","Western Caro.","113","17-13","146","1.29"
"176","VCU","112","24-7","144","1.29"
"177","Dartmouth","89","10-15","114","1.28"
"178","Clemson","107","11-18","137","1.28"
"179","UNI","129","24-11","165","1.28"
"180","UNC Asheville","90","13-13","115","1.28"
"181","Marshall","101","18-10","129","1.28"
"182","Alabama A&M","114","20-15","145","1.27"
"183","Chicago St.","119","5-26","151","1.27"
"184","Mississippi Val.","108","4-30","137","1.27"
"185","Oral Roberts","123","8-23","156","1.27"
"186","Georgia St.","105","10-17","133","1.27"
"187","Eastern Wash.","113","6-24","143","1.27"
"188","Eastern Ill.","106","3-26","134","1.26"
"189","Colgate","122","24-8","154","1.26"
"190","Stetson","103","12-15","130","1.26"
"","Louisiana Tech","103","13-15","130","1.26"
"192","Saint Francis (PA)","93","3-25","117","1.26"
"193","Wake Forest","105","14-15","132","1.26"
"194","Central Conn. St.","117","15-15","147","1.26"
"195","Houston","141","16-17","177","1.26"
"196","Southeastern La.","118","14-17","148","1.25"
"197","Notre Dame","115","19-10","144","1.25"
"198","Rice","108","27-4","135","1.25"
"","Gardner-Webb","84","3-22","105","1.25"
"200","Elon","129","14-18","161","1.25"
"201","Seton Hall","114","8-24","142","1.25"
"202","Princeton","90","17-8","112","1.24"
"203","North Carolina","107","15-13","133","1.24"
"204","Charleston So.","103","14-15","128","1.24"
"205","Hampton","95","8-17","118","1.24"
"206","Montana St.","112","15-14","139","1.24"
"207","Middle Tenn.","117","13-17","145","1.24"
"208","California","113","20-10","140","1.24"
"","North Dakota","113","12-18","140","1.24"
"210","Butler","115","14-16","142","1.23"
"211","Oklahoma","111","19-9","137","1.23"
"212","Western Ill.","107","6-23","132","1.23"
"","Virginia","107","13-18","132","1.23"
"214","Jacksonville","116","10-21","143","1.23"
"215","SIUE","112","14-15","138","1.23"
"216","CSUN","108","12-16","133","1.23"
"217","Kent St.","113","14-15","139","1.23"
"218","Ohio","119","18-13","146","1.23"
"219","Nicholls St.","106","11-16","130","1.23"
"220","Portland St.","111","10-19","136","1.23"
"221","Miami (OH)","108","17-12","132","1.22"
"222","Bowling Green","127","20-13","155","1.22"
"223","Lehigh","109","14-17","133","1.22"
"224","Quinnipiac","114","14-16","139","1.22"
"225","UCLA","102","19-12","124","1.22"
"226","James Madison","93","20-8","113","1.22"
"227","UC Santa Barbara","107","23-6","130","1.21"
"228","Liberty","121","21-12","147","1.21"
"229","Evansville","117","16-14","142","1.21"
"230","William & Mary","97","7-20","117","1.21"
"231","Ohio St.","114","15-17","137","1.20"
"232","Buffalo","119","13-17","143","1.20"
"233","George Mason","97","4-22","116","1.20"
"234","South Carolina St.","82","0-29","98","1.20"
"235","Tennessee","108","15-13","129","1.19"
"","San Francisco","108","8-21","129","1.19"
"237","South Carolina","114","20-12","136","1.19"
"238","Minnesota","118","27-6","140","1.19"
"239","Austin Peay","118","11-20","139","1.18"
"240","DePaul","121","14-16","142","1.17"
"241","Michigan St.","110","15-15","129","1.17"
"242","UCF","122","25-8","143","1.17"
"243","Davidson","105","10-18","123","1.17"
"244","Central Ark.","124","16-14","145","1.17"
"245","East Carolina","113","19-11","132","1.17"
"246","Missouri St.","125","10-22","146","1.17"
"247","TCU","108","12-18","126","1.17"
"248","Texas Tech","116","17-13","134","1.16"
"249","Alabama","105","12-17","121","1.15"
"","Florida St.","105","19-10","121","1.15"
"251","Duquesne","94","10-17","108","1.15"
"252","Loyola Maryland","122","13-18","140","1.15"
"253","Jackson St.","130","18-19","149","1.15"
"254","Bethune-Cookman","118","8-24","135","1.14"
"255","Drake","125","9-22","143","1.14"
"256","Valparaiso","127","14-20","145","1.14"
"257","New Mexico","115","11-19","131","1.14"
"","Idaho St.","115","7-23","131","1.14"
"259","UIC","116","20-11","132","1.14"
"260","Arizona St.","124","17-14","141","1.14"
"261","Indiana","126","14-19","143","1.13"
"262","Montana","112","7-23","127","1.13"
"263","South Fla.","113","7-23","128","1.13"
"264","FIU","103","10-16","116","1.13"
"265","Charlotte","112","16-15","126","1.13"
"","North Dakota St.","112","13-16","126","1.13"
"267","Utah","137","24-10","154","1.12"
"268","Iowa","115","10-21","129","1.12"
"269","Cleveland St.","108","8-19","121","1.12"
"270","Northwestern","118","14-18","132","1.12"
"271","Baylor","104","29-2","116","1.12"
"272","Niagara","105","13-16","117","1.11"
"273","South Dakota St.","107","6-22","119","1.11"
"274","Green Bay","114","21-9","126","1.11"
"275","Fordham","106","12-14","117","1.10"
"276","Utah St.","108","2-28","119","1.10"
"277","Wyoming","119","22-9","131","1.10"
"278","Tulsa","132","18-16","145","1.10"
"279","LSU","102","15-13","112","1.10"
"280","Columbia","93","12-12","102","1.10"
"281","Little Rock","95","6-22","104","1.09"
"282","Southern U.","108","11-21","118","1.09"
"","Oakland","108","15-14","118","1.09"
"284","Eastern Ky.","99","9-21","108","1.09"
"","Northern Ill.","110","8-22","120","1.09"
"286","Tennessee Tech","112","13-17","122","1.09"
"287","Mississippi St.","114","13-17","124","1.09"
"288","Abilene Christian","93","7-19","101","1.09"
"289","Temple","92","12-15","99","1.08"
"290","Colorado","106","13-17","114","1.08"
"291","Louisiana","110","14-16","118","1.07"
"292","Idaho","124","13-18","133","1.07"
"293","Kansas St.","113","9-19","121","1.07"
"294","UC Irvine","105","5-23","112","1.07"
"295","Long Beach St.","110","12-17","117","1.06"
"296","Utah Valley","113","11-19","120","1.06"
"297","Auburn","103","7-22","109","1.06"
"298","Nebraska","119","28-5","125","1.05"
"299","Ga. Southern","101","7-20","106","1.05"
"","UC Riverside","101","6-22","106","1.05"
"301","Purdue Fort Wayne","128","18-15","134","1.05"
"302","UT Martin","118","13-19","123","1.04"
"303","Indiana St.","103","7-21","107","1.04"
"304","North Texas","109","17-11","113","1.04"
"305","Stony Brook","96","9-17","99","1.03"
"306","NC State","123","11-19","126","1.02"
"307","Western Mich.","112","14-14","114","1.02"
"308","Wichita St.","105","9-19","106","1.01"
"309","SMU","106","18-10","107","1.01"
"310","Virginia Tech","121","11-20","122","1.01"
"311","Ole Miss","117","14-15","117","1.00"
"","Col. of Charleston","102","7-21","102","1.00"
"","UConn","104","12-16","104","1.00"
"314","Grambling","109","11-24","108","0.99"
"315","Jacksonville St.","106","20-10","105","0.99"
"316","Belmont","108","2-29","106","0.98"
"317","Oregon St.","122","9-22","119","0.98"
"318","Fairleigh Dickinson","98","4-26","95","0.97"
"319","West Virginia","108","12-17","104","0.96"
"320","Eastern Mich.","106","11-17","102","0.96"
"321","UT Arlington","131","20-14","126","0.96"
"322","Arizona","117","15-17","112","0.96"
"323","Sam Houston St.","134","19-14","128","0.96"
"324","Duke","110","12-19","105","0.95"
"325","Southern Miss.","102","3-26","95","0.93"
"326","Cal St. Fullerton","100","12-15","93","0.93"
"327","Furman","109","8-21","101","0.93"
"328","Tennessee St.","104","12-17","96","0.92"
"329","Xavier","103","11-17","94","0.91"
"330","Kansas","96","9-17","86","0.90"
"331","NJIT","110","1-31","98","0.89"
"332","San Diego St.","110","15-14","80","0.73"
Reclassifying
"NR","California Baptist","117","14-16","180","1.54"
"NR","North Ala.","101","4-25","117","1.16"
"NR","Merrimack","78","1-24","77","0.99"

NCAA Women's Volleyball
Division IAssists Per Set
Through Games 12/21/2019


"Rank","Name","S","W-L","Assists","Per Set"
"1","Cincinnati","125","27-7","1775","14.20"
"2","Marquette","122","28-6","1714","14.05"
"3","Stanford","120","30-4","1674","13.95"
"4","Pittsburgh","111","30-2","1517","13.67"
"5","Baylor","104","29-2","1421","13.66"
"6","Wisconsin","116","27-7","1581","13.63"
"7","Princeton","90","17-8","1222","13.58"
"8","Kennesaw St.","115","22-9","1551","13.49"
"9","Milwaukee","119","26-6","1602","13.46"
"10","Morehead St.","119","23-10","1599","13.44"
"11","South Dakota","123","31-3","1652","13.43"
"12","Rice","108","27-4","1447","13.40"
"13","SMU","106","18-10","1419","13.39"
"14","Kentucky","114","25-7","1521","13.34"
"15","Missouri","111","22-8","1480","13.33"
"","UNI","129","24-11","1720","13.33"
"17","Towson","112","29-3","1491","13.31"
"18","San Diego","112","25-6","1477","13.19"
"19","UCLA","102","19-12","1341","13.15"
"20","UCF","122","25-8","1599","13.11"
"21","Georgia Tech","123","26-8","1609","13.08"
"22","Penn St.","117","27-6","1528","13.06"
"23","Creighton","107","25-6","1396","13.05"
"24","Texas","98","23-4","1271","12.97"
"25","Utah","137","24-10","1775","12.96"
"26","UC Santa Barbara","107","23-6","1385","12.94"
"27","Georgia","112","20-10","1449","12.94"
"28","Northern Colo.","132","26-8","1706","12.92"
"29","Illinois St.","132","22-12","1705","12.92"
"30","Murray St.","114","19-11","1471","12.90"
"31","Colorado St.","110","29-2","1419","12.90"
"32","Cornell","86","17-6","1108","12.88"
"33","Michigan","118","21-11","1520","12.88"
"34","Fla. Atlantic","100","16-11","1285","12.85"
"35","La Salle","110","15-14","1412","12.84"
"36","Kent St.","113","14-15","1450","12.83"
"37","Nebraska","119","28-5","1526","12.82"
"38","Minnesota","118","27-6","1506","12.76"
"39","Loyola Maryland","122","13-18","1555","12.75"
"40","St. John's (NY)","118","22-12","1503","12.74"
"41","Jacksonville St.","106","20-10","1350","12.74"
"42","FGCU","108","27-5","1370","12.69"
"43","Troy","120","23-10","1522","12.68"
"44","Illinois","118","16-14","1496","12.68"
"45","Omaha","129","19-14","1635","12.67"
"46","Western Ky.","118","32-2","1492","12.64"
"47","Fairfield","110","24-6","1389","12.63"
"48","Columbia","93","12-12","1173","12.61"
"49","Ball St.","126","20-12","1589","12.61"
"50","Green Bay","114","21-9","1432","12.56"
"51","Northern Ky.","123","19-13","1545","12.56"
"52","Texas A&M","120","23-8","1506","12.55"
"53","California","113","20-10","1418","12.55"
"54","New Mexico St.","108","27-4","1354","12.54"
"55","Hawaii","114","26-4","1428","12.53"
"56","Eastern Mich.","106","11-17","1324","12.49"
"57","Florida","117","27-5","1458","12.46"
"58","Central Mich.","113","21-9","1408","12.46"
"59","UMKC","111","17-12","1383","12.46"
"60","Pepperdine","114","18-11","1419","12.45"
"61","Loyola Chicago","124","21-11","1543","12.44"
"62","Northwestern St.","119","20-13","1480","12.44"
"63","Iowa St.","107","17-12","1329","12.42"
"64","Long Beach St.","110","12-17","1365","12.41"
"65","San Diego St.","110","15-14","1364","12.40"
"66","Weber St.","133","26-9","1649","12.40"
"67","Ohio St.","114","15-17","1413","12.39"
"68","ETSU","122","25-6","1512","12.39"
"69","UTSA","113","16-14","1400","12.39"
"70","Washington","133","27-7","1646","12.38"
"71","Sam Houston St.","134","19-14","1658","12.37"
"72","Tennessee","108","15-13","1336","12.37"
"73","Miami (OH)","108","17-12","1335","12.36"
"74","Ohio","119","18-13","1470","12.35"
"75","Wright St.","111","24-6","1370","12.34"
"76","Army West Point","116","22-10","1431","12.34"
"","Coastal Caro.","116","24-6","1431","12.34"
"78","LMU (CA)","110","14-15","1355","12.32"
"79","Lipscomb","105","16-13","1293","12.31"
"80","Central Ark.","124","16-14","1525","12.30"
"81","Northeastern","108","15-14","1328","12.30"
"82","Evansville","117","16-14","1436","12.27"
"83","UNLV","128","20-11","1568","12.25"
"84","DePaul","121","14-16","1480","12.23"
"85","Texas Tech","116","17-13","1418","12.22"
"86","Hofstra","111","17-12","1354","12.20"
"87","Boston College","128","20-12","1559","12.18"
"88","Samford","118","24-6","1435","12.16"
"89","Oregon","113","9-20","1373","12.15"
"90","Notre Dame","115","19-10","1397","12.15"
"91","A&M-Corpus Christi","117","19-12","1421","12.15"
"92","VCU","112","24-7","1360","12.14"
"93","Liberty","121","21-12","1469","12.14"
"94","North Florida","126","15-18","1529","12.13"
"95","Sacred Heart","120","20-12","1455","12.13"
"96","UIC","116","20-11","1404","12.10"
"97","East Carolina","113","19-11","1367","12.10"
"98","Winthrop","109","24-5","1318","12.09"
"99","Syracuse","94","12-13","1136","12.09"
"100","Purdue","122","24-8","1473","12.07"
"101","Robert Morris","107","25-5","1289","12.05"
"102","UT Arlington","131","20-14","1577","12.04"
"103","North Texas","109","17-11","1312","12.04"
"104","Marist","115","15-15","1384","12.03"
"105","Saint Louis","112","17-12","1347","12.03"
"106","Oakland","108","15-14","1298","12.02"
"107","Dayton","114","22-9","1370","12.02"
"108","Navy","111","17-12","1333","12.01"
"109","High Point","122","21-13","1464","12.00"
"110","Texas St.","118","24-9","1415","11.99"
"111","West Virginia","108","12-17","1295","11.99"
"112","Delaware","104","15-14","1247","11.99"
"113","Nevada","114","17-13","1364","11.96"
"114","Pacific","120","13-17","1435","11.96"
"115","Bradley","119","15-15","1422","11.95"
"116","Central Conn. St.","117","15-15","1398","11.95"
"117","San Jose St.","107","10-19","1277","11.93"
"118","Yale","83","15-8","990","11.93"
"119","American","120","24-8","1431","11.93"
"120","Southern California","132","18-14","1574","11.92"
"121","Purdue Fort Wayne","128","18-15","1523","11.90"
"122","Northern Ariz.","124","21-11","1475","11.90"
"123","Southern Utah","116","15-16","1379","11.89"
"124","Memphis","110","17-11","1306","11.87"
"125","Hartford","109","16-13","1294","11.87"
"126","BYU","112","26-5","1329","11.87"
"127","Tulane","131","22-11","1553","11.85"
"128","FIU","103","10-16","1221","11.85"
"129","Bowling Green","127","20-13","1505","11.85"
"130","Denver","117","23-9","1386","11.85"
"131","Grand Canyon","116","24-6","1372","11.83"
"132","Western Mich.","112","14-14","1324","11.82"
"133","Colgate","122","24-8","1442","11.82"
"134","Fresno St.","104","14-16","1229","11.82"
"135","Temple","92","12-15","1087","11.82"
"136","Oklahoma","111","19-9","1311","11.81"
"137","South Carolina","114","20-12","1346","11.81"
"138","Wyoming","119","22-9","1405","11.81"
"139","Marshall","101","18-10","1191","11.79"
"140","Rider","115","15-16","1355","11.78"
"141","SFA","114","31-2","1343","11.78"
"142","Tulsa","132","18-16","1555","11.78"
"143","Arizona","117","15-17","1378","11.78"
"144","TCU","108","12-18","1271","11.77"
"145","Akron","103","16-12","1211","11.76"
"146","North Carolina","107","15-13","1258","11.76"
"147","Montana St.","112","15-14","1315","11.74"
"148","Louisville","121","22-10","1420","11.74"
"149","Mercer","114","14-17","1337","11.73"
"150","Virginia","107","13-18","1254","11.72"
"151","Boise St.","111","18-12","1300","11.71"
"152","Western Caro.","113","17-13","1323","11.71"
"153","Houston Baptist","118","17-15","1381","11.70"
"154","Arizona St.","124","17-14","1451","11.70"
"155","NC State","123","11-19","1439","11.70"
"156","UC Davis","112","17-13","1310","11.70"
"157","Buffalo","119","13-17","1391","11.69"
"158","Southeastern La.","118","14-17","1378","11.68"
"159","Santa Clara","124","21-12","1448","11.68"
"160","Cleveland St.","108","8-19","1261","11.68"
"161","Brown","87","13-10","1015","11.67"
"162","Morgan St.","114","18-13","1329","11.66"
"163","Appalachian St.","116","13-17","1352","11.66"
"164","Tennessee Tech","112","13-17","1305","11.65"
"","Villanova","112","22-9","1305","11.65"
"166","Austin Peay","118","11-20","1374","11.64"
"167","Quinnipiac","114","14-16","1327","11.64"
"168","Oregon St.","122","9-22","1420","11.64"
"169","Florida St.","105","19-10","1221","11.63"
"170","Washington St.","123","23-10","1430","11.63"
"171","Clemson","107","11-18","1243","11.62"
"172","Cal Poly","110","21-9","1273","11.57"
"173","Bucknell","102","14-14","1180","11.57"
"174","Presbyterian","103","15-15","1191","11.56"
"175","Bryant","113","15-17","1306","11.56"
"176","Lamar University","94","9-17","1085","11.54"
"177","Miami (FL)","102","10-16","1177","11.54"
"178","North Dakota St.","112","13-16","1292","11.54"
"179","Elon","129","14-18","1487","11.53"
"180","Penn","82","11-10","945","11.52"
"181","Missouri St.","125","10-22","1439","11.51"
"182","UAB","98","12-15","1128","11.51"
"183","Howard","121","20-13","1392","11.50"
"184","Northwestern","118","14-18","1356","11.49"
"185","CSUN","108","12-16","1241","11.49"
"186","Iowa","115","10-21","1320","11.48"
"187","Sacramento St.","130","14-18","1490","11.46"
"188","Kansas St.","113","9-19","1295","11.46"
"189","Lehigh","109","14-17","1247","11.44"
"190","UT Martin","118","13-19","1349","11.43"
"191","Arkansas St.","116","17-13","1326","11.43"
"192","Louisiana","110","14-16","1255","11.41"
"193","Siena","111","11-18","1266","11.41"
"194","Middle Tenn.","117","13-17","1334","11.40"
"195","Valparaiso","127","14-20","1448","11.40"
"196","San Francisco","108","8-21","1231","11.40"
"197","Air Force","114","8-22","1299","11.39"
"198","Arkansas","113","11-19","1287","11.39"
"199","Southern Ill.","134","14-18","1524","11.37"
"200","Campbell","108","17-13","1228","11.37"
"201","UC Riverside","101","6-22","1148","11.37"
"202","SIUE","112","14-15","1271","11.35"
"203","N.C. A&T","115","16-15","1305","11.35"
"204","New Orleans","111","13-18","1259","11.34"
"205","Nicholls St.","106","11-16","1201","11.33"
"206","Charleston So.","103","14-15","1167","11.33"
"207","Xavier","103","11-17","1166","11.32"
"208","Rhode Island","95","8-18","1075","11.32"
"209","James Madison","93","20-8","1052","11.31"
"210","LIU Brooklyn","105","12-17","1187","11.30"
"211","Stetson","103","12-15","1164","11.30"
"212","Jacksonville","116","10-21","1310","11.29"
"213","LSU","102","15-13","1151","11.28"
"214","Michigan St.","110","15-15","1237","11.25"
"215","McNeese","106","11-17","1192","11.25"
"216","Portland","107","11-18","1203","11.24"
"217","Utah Valley","113","11-19","1269","11.23"
"218","UMBC","88","7-16","988","11.23"
"219","South Alabama","119","20-11","1336","11.23"
"220","Wofford","116","15-16","1301","11.22"
"221","Stony Brook","96","9-17","1075","11.20"
"222","UConn","104","12-16","1164","11.19"
"223","South Fla.","113","7-23","1262","11.17"
"224","Seattle U","120","13-18","1340","11.17"
"225","Southeast Mo. St.","129","23-11","1438","11.15"
"226","Col. of Charleston","102","7-21","1137","11.15"
"227","Indiana","126","14-19","1402","11.13"
"228","Ole Miss","117","14-15","1301","11.12"
"229","CSU Bakersfield","114","9-19","1267","11.11"
"230","Duke","110","12-19","1222","11.11"
"231","Louisiana Tech","103","13-15","1144","11.11"
"232","UTRGV","117","14-17","1299","11.10"
"233","Eastern Ky.","99","9-21","1098","11.09"
"234","Georgia St.","105","10-17","1164","11.09"
"235","UTEP","106","13-15","1174","11.08"
"236","UNC Greensboro","97","11-20","1072","11.05"
"237","Prairie View","136","17-22","1503","11.05"
"238","Duquesne","94","10-17","1038","11.04"
"239","Indiana St.","103","7-21","1137","11.04"
"240","Oral Roberts","123","8-23","1355","11.02"
"241","Houston","141","16-17","1551","11.00"
"242","Northern Ill.","110","8-22","1209","10.99"
"243","Furman","109","8-21","1196","10.97"
"244","Canisius","123","15-16","1349","10.97"
"245","Charlotte","112","16-15","1228","10.96"
"246","Colorado","106","13-17","1162","10.96"
"247","Delaware St.","110","12-18","1204","10.95"
"248","New Hampshire","102","17-10","1115","10.93"
"249","Butler","115","14-16","1256","10.92"
"250","Davidson","105","10-18","1144","10.90"
"","Wake Forest","105","14-15","1144","10.90"
"252","Idaho","124","13-18","1351","10.90"
"253","Albany (NY)","99","16-11","1078","10.89"
"254","Alabama","105","12-17","1142","10.88"
"255","Wichita St.","105","9-19","1141","10.87"
"256","Toledo","108","9-19","1172","10.85"
"257","Harvard","88","5-18","953","10.83"
"258","Drake","125","9-22","1353","10.82"
"259","St. Francis Brooklyn","119","14-17","1288","10.82"
"260","Niagara","105","13-16","1136","10.82"
"261","New Mexico","115","11-19","1242","10.80"
"262","Cal St. Fullerton","100","12-15","1079","10.79"
"263","Belmont","108","2-29","1164","10.78"
"264","Georgetown","122","13-19","1313","10.76"
"265","Coppin St.","114","13-18","1226","10.75"
"266","Dartmouth","89","10-15","957","10.75"
"267","La.-Monroe","112","12-20","1204","10.75"
"268","Mississippi St.","114","13-17","1224","10.74"
"269","Lafayette","125","13-19","1342","10.74"
"270","Southern Miss.","102","3-26","1095","10.74"
"271","UNC Asheville","90","13-13","966","10.73"
"272","Alabama St.","142","17-22","1524","10.73"
"273","Virginia Tech","121","11-20","1296","10.71"
